workload,task_id,TI_NNLS,TI_GM,SI_NNLS,SI_GM
w0,0,0.37399179200470356,0.0,0.8746984830035598,0.8751694069598226
w0,13,0.45841181939267417,0.0,0.7298863049515689,0.737968543463209
w0,21,0.08076094435808578,0.0,1.0,1.0
w0,23,0.17342063932910046,0.0,0.8233912120170602,0.800617166729966
w0,22,0.4177800641824486,0.0,1.0,1.0
w0,24,0.0,,1.0,
w0,25,0.4848297398409699,0.0,1.0,1.0
w0,26,0.3527214457019927,0.0,1.0,1.0
w0,27,0.5933554779854295,0.0,1.0,1.0
w0,28,0.7908737046334573,0.0,1.0,1.0
w0,41,0.1315997414401987,0.0,0.899011285678566,0.9438485829258877
w0,29,0.20256218686755334,0.0,1.0,1.0
w0,31,0.07175129856240958,0.0,1.0,1.0
w0,32,0.8763438307635736,0.0,1.0,1.0
w0,1,0.7509074806853239,0.0,1.0,1.0
w0,33,0.19412858929672716,0.0,1.0,1.0
w0,34,0.2862264384691886,0.0,1.0,1.0
w0,2,0.2082509474760642,0.0,1.0,1.0
w0,4,0.0013371610088234176,0.0,1.0,1.0
w0,35,0.0,0.0,1.0,1.0
w0,36,0.2706926466692092,0.0,1.0,1.0
w0,38,0.41469098672226445,0.0,1.0,1.0
w0,39,0.12089921097382528,,1.0,
w0,42,0.4084343538141554,0.0,1.0,1.0
w0,43,0.3240008755577781,0.0,1.0,1.0
w0,5,0.7031676253635364,0.0,1.0,1.0
w0,6,0.14791808489024305,,1.0,
w0,9,0.19393796926733176,,1.0,
w0,10,0.20403897543039684,,1.0,
w0,11,0.2339842350787792,,1.0,
w0,44,0.4942845687672337,0.0,0.972745960963879,0.826006817941735
w0,12,0.6243332161798352,0.0,1.0,1.0
w0,15,0.0,,1.0,
w0,16,0.1920283727216885,,1.0,
w0,17,0.45154846112886704,,1.0,
w0,18,0.520616226892678,0.0,1.0,1.0
w0,19,-2.220446049250313e-16,,1.0,
w0,45,0.6677209142143052,0.0,1.0,1.0
w0,20,0.769559350330986,0.0,1.0,1.0
w0,46,0.10685422436594927,0.0,1.0,1.0
w0,47,0.05963145730597352,0.0,1.0,1.0
w0,48,0.06901570627321862,0.0,1.0,1.0
w0,49,0.686019563099282,0.0,1.0,1.0
w1,2,0.0,0.0,0.55588563717004,0.5212224108658744
w1,3,0.304312478773507,0.0,0.9148614649716682,0.8923060204303411
w1,7,0.0,0.0,0.4450414269362315,0.42729621799389245
w1,9,0.055365033266076336,0.0,1.0,1.0
w1,12,0.09461726137079651,0.0,1.0,1.0
w1,13,0.0,0.0,0.7651874854463914,0.7264957264957266
w1,15,0.0,0.0,0.8714605053462994,0.868726714880561
w1,20,0.5,0.0,0.5682952026398801,0.6011425810288433
w1,27,0.7908930157745597,0.0,1.0,1.0
w1,29,0.0,0.0,0.3581012437361091,0.8262614028829693
w1,34,0.0,0.0,0.3333333333333333,0.7402337181278958
w1,36,0.0,0.0,0.37909484904442425,0.6457285840447452
w1,37,0.008432302354101084,0.0,1.0,1.0
w1,40,0.0,0.0,0.8228725325749104,0.830357512984052
w1,48,0.0,0.0,0.9020035254629151,0.9024918399731144
w1,49,0.0,0.0,0.5144553606404312,0.6827092035347733
w1,39,0.02521886188735112,0.0,0.9718916700861715,0.9652274505801095
w1,41,0.0022571819425445394,0.0,1.0,1.0
w1,43,0.02872558779388379,0.0,1.0,1.0
w1,16,0.0019151846785228077,0.0,1.0,1.0
w1,30,0.001953425541334264,0.0,1.0,1.0
w1,42,0.00907975270987571,0.0,0.9952023834334973,0.9954212454212454
w1,0,0.0,0.0,1.0,1.0
w1,17,0.19668662405642778,0.0,1.0,1.0
w1,18,0.0,0.0,1.0,1.0
w1,22,0.002182973219797768,0.0,1.0,1.0
w1,25,0.0,0.0,0.5331702681373672,0.5049543934627333
w1,26,0.0027673734594256816,0.0,1.0,1.0
w1,44,0.0023885788181670087,0.0,1.0,1.0
w1,5,0.0020629363324105032,0.0,1.0,1.0
w1,24,0.7058823529407625,0.0,0.497548150326108,0.559659907158896
w1,31,0.6934041071301179,,1.0,
w1,32,0.4285714284950468,0.0,1.0,1.0
w1,11,0.15858927051914484,0.0,1.0,1.0
w1,33,0.6434242148348193,0.0,1.0,1.0
w1,45,0.0,0.0,1.0,1.0
w1,1,0.2116913614876219,0.0,1.0,1.0
w1,8,0.020438106723705385,,1.0,
w1,10,0.7397989639732234,0.0,1.0,1.0
w1,14,0.4572238671702421,,1.0,
w1,19,0.01484775915155645,0.0,1.0,1.0
w1,21,0.7087051761180956,,1.0,
w1,23,0.0,0.0,1.0,1.0
w1,28,0.666316795693713,,1.0,
w1,35,0.0,0.0,1.0,1.0
w1,38,0.0,,1.0,
w1,46,0.0,,1.0,
w1,47,0.10728953768225147,,1.0,
w1,4,0.009232677416512569,0.0,1.0,1.0
w1,6,0.002134909300587906,0.0,1.0,1.0
w2,5,0.004204577188428371,0.0,0.9352479194191425,0.9924286546301688
w2,10,0.12073495066303408,0.0,0.966959807704446,0.9242900867199454
w2,15,0.008029441284710614,0.0,1.0,1.0
w2,27,0.6755490900889091,0.0,1.0,1.0
w2,32,0.08053691275167785,0.0,0.9288579842478494,0.9289640700832915
w2,38,0.103635505193579,0.0,0.7759036717845333,0.6683088863826153
w2,41,0.28378733065875905,0.0,0.8644825228396875,0.5918586393544455
w2,43,0.0,0.0,0.8215425531914895,0.8215425531914895
w2,4,0.6442644039349431,0.0,1.0,1.0
w2,9,0.0023909893257658688,0.0,1.0,1.0
w2,1,0.5337607376672102,0.0,0.7260135105845202,0.7448507222173391
w2,7,0.2314602152973797,0.0,1.0,1.0
w2,12,0.6492518677768264,0.0,1.0,1.0
w2,18,0.31142043891379567,0.0,1.0,1.0
w2,22,0.0,0.0,0.6294582079200365,0.6406139464431579
w2,24,0.5,0.0,0.5887453380550816,0.779594521436684
w2,28,1.1102230246251565e-16,,1.0,
w2,29,0.0,0.0,0.7654487680017784,0.7099072144411414
w2,31,0.26732620365682136,,1.0,
w2,34,0.0,,1.0,
w2,39,0.22708011025931774,,1.0,
w2,46,0.0,0.0,0.504030457596876,0.7651324432308604
w2,19,0.016109422492401215,0.0,0.9825462012320328,0.9790587538848602
w2,20,0.7290522549516983,0.0,1.0,1.0
w2,16,0.640538151023587,0.0,1.0,1.0
w2,0,0.0,0.0,0.9924502402196291,0.9924502402196295
w2,35,0.0014373716632444244,0.0,1.0,1.0
w2,42,0.0013283973033730856,0.0,1.0,1.0
w2,47,0.03811267844224886,0.0,1.0,1.0
w2,11,0.0016980995098188068,0.0,1.0,1.0
w2,17,0.0,0.0,0.5207024037429506,0.5712679288582903
w2,30,0.5642108178684715,0.0,1.0,1.0
w2,40,0.001898219186258765,0.0,1.0,1.0
w2,13,0.3661064102953727,0.0,0.6094670095709501,0.5296634457910252
w2,14,0.5945391954783787,0.0,1.0,1.0
w2,33,0.758306409150094,0.0,1.0,1.0
w2,44,0.0,0.0,1.0,1.0
w2,45,0.7441042248435827,,1.0,
w2,2,0.6927132664675004,0.0,1.0,1.0
w2,3,0.049341738039956784,0.0,1.0,1.0
w2,6,0.22695172873475888,0.0,1.0,1.0
w2,8,0.0,,1.0,
w2,21,0.0,,1.0,
w2,23,0.6515185365902572,,1.0,
w2,25,0.7957564368352279,,1.0,
w2,26,0.0,0.0,1.0,1.0
w2,36,0.033151004016953034,0.0,1.0,1.0
w2,48,0.7391304347826086,0.0,1.0,1.0
w2,49,0.30200256093090727,0.0,1.0,1.0
w2,37,0.0027391800123123256,0.0,1.0,1.0
w3,0,0.0,0.0,0.778535771618405,0.5517522412387939
w3,5,0.0,0.0,0.8940947666195191,0.894094766619519
w3,6,0.12148115470035015,0.0,0.9548752545824849,0.9491657977059439
w3,8,0.07846467391304335,0.0,0.9117999401018269,0.9099788701510985
w3,10,0.0,0.0,0.7219750239531723,0.6134517937977163
w3,13,0.0,0.0,0.7361111111111113,0.736111111111111
w3,15,0.14874915483434736,0.0,0.9125866308964903,0.891307066916823
w3,17,0.004898013955984992,0.0,1.0,1.0
w3,34,0.006684491978609652,0.0,1.0,1.0
w3,49,0.023708585678659744,0.0,0.9501613313654637,0.9491987873538328
w3,9,0.005018707107486975,0.0,1.0,1.0
w3,24,0.2405873300323763,0.0,0.6804668640503307,0.7837212343502741
w3,29,0.0016669474890317337,0.0,1.0,1.0
w3,18,0.4626658160938606,0.0,1.0,1.0
w3,28,0.10629801844779951,0.0,1.0,1.0
w3,31,0.09905408004706528,0.0,0.5940299731887363,0.41121327290104226
w3,42,0.024514579495383937,0.0,0.9858939496940857,0.9835432222593707
w3,11,0.0,0.0,0.6985785934822509,0.6473479948253558
w3,25,0.0,0.0,0.6514938068091423,0.7369890187743536
w3,26,0.0,0.0,0.9941256213285135,0.9941256213285133
w3,27,0.0,0.0,0.7679407456390255,0.757925433739387
w3,35,0.0,0.0,0.37686040211162,0.4281809224847055
w3,36,0.00262328709929438,0.0,1.0,1.0
w3,37,0.0,0.0,0.9744645799011534,0.9744645799011532
w3,22,0.8513336556718966,0.0,1.0,1.0
w3,32,0.026133714079434878,0.0,1.0,1.0
w3,38,0.6505078924759842,0.0,1.0,1.0
