node,task_id,mean_est
amphost001,0,
amphost001,1,
amphost001,3,
amphost001,5,49.23333333333333
amphost001,6,
amphost001,8,
amphost001,9,48.76173913043479
amphost001,10,33.36666666666667
amphost001,11,48.41610738255034
amphost001,12,
amphost001,13,49.20000000000001
amphost001,15,
amphost001,16,48.474193548387106
amphost001,17,49.01363636363637
amphost001,19,
amphost001,21,48.28255033557046
amphost001,22,
amphost001,23,48.70000000000001
amphost001,24,
amphost001,25,
amphost001,26,
amphost001,27,49.188372093023254
amphost001,28,
amphost001,30,
amphost001,31,48.28513513513514
amphost001,32,
amphost001,33,49.04705882352942
amphost001,37,48.85714285714287
amphost001,38,48.29797297297298
amphost001,40,
amphost001,41,
amphost001,42,
amphost001,43,33.45833333333333
amphost001,44,24.5
amphost001,45,
amphost001,46,
amphost001,47,
amphost001,48,
amphost002,2,48.464705882352945
amphost002,3,28.606250000000003
amphost002,4,48.76153846153846
amphost002,5,49.0
amphost002,7,48.19310344827586
amphost002,13,49.03333333333333
amphost002,14,48.43304347826087
amphost002,18,48.59369369369372
amphost002,20,48.13648648648649
amphost002,23,49.03333333333333
amphost002,27,49.02558139534884
amphost002,29,48.42142857142858
amphost002,30,13.333333333333334
amphost002,34,49.042857142857144
amphost002,35,48.10608108108108
amphost002,36,47.89701492537314
amphost002,39,48.98872180451128
amphost002,43,33.44166666666667
amphost002,44,18.3
amphost002,49,48.0044776119403
