node,task_id,mean_est
amphost002,0,0.6391999999999999
amphost002,1,17.019999999999996
amphost002,2,
amphost002,3,
amphost002,4,
amphost002,5,
amphost002,6,
amphost002,8,0.6813333333333332
amphost002,10,0.8553571428571429
amphost002,11,
amphost002,12,0.3608000000000001
amphost002,15,
amphost002,18,4.381428571428566
amphost002,19,
amphost002,21,2.3199999999999985
amphost002,23,
amphost002,27,25.846514285714285
amphost002,28,
amphost002,29,
amphost002,31,
amphost002,34,0.0
amphost002,36,12.3608
amphost002,40,0.7064516129032259
amphost002,43,0.7196911196911198
amphost002,44,26.359371428571436
amphost002,46,
amphost002,47,
amphost002,49,
amphost003,1,16.651136363636365
amphost003,6,21.608520408163265
amphost003,7,1.151515151515151
amphost003,9,
amphost003,11,33.4
amphost003,12,1.0761904761904761
amphost003,13,0.6215189873417721
amphost003,14,
amphost003,15,
amphost003,16,4.195454545454546
amphost003,17,0.6652777777777779
amphost003,20,0.7238095238095239
amphost003,22,0.8902597402597393
amphost003,24,0.6238095238095239
amphost003,25,
amphost003,26,33.142857142857146
amphost003,27,24.519047619047623
amphost003,30,
amphost003,32,3.8394557823129234
amphost003,33,0.651904761904762
amphost003,35,26.727272727272727
amphost003,36,
amphost003,37,7.303174603174605
amphost003,38,4.385714285714288
amphost003,39,
amphost003,41,
amphost003,42,
amphost003,44,22.194234693877547
amphost003,45,1.0147943722943764
amphost003,47,
amphost003,48,0.5990566037735849
