node,task_id,mean_est
amphost001,1,
amphost001,2,
amphost001,3,
amphost001,6,0.3330969899665551
amphost001,7,33.028571428571425
amphost001,8,0.5344827586206903
amphost001,9,0.752380952380952
amphost001,10,0.6032232070910556
amphost001,11,0.6026856240126383
amphost001,13,8.299999999999994
amphost001,14,4.630945558739255
amphost001,17,0.45319333261409006
amphost001,18,2.3178981937602634
amphost001,19,2.1533333333333338
amphost001,20,
amphost001,22,17.06427889207259
amphost001,27,2.1999999999999997
amphost001,28,
amphost001,29,
amphost001,30,
amphost001,31,
amphost001,34,0.36027317577930124
amphost001,35,3.374999999999999
amphost001,36,
amphost001,37,2.127995391705069
amphost001,39,1.3276190476190477
amphost001,40,
amphost001,41,33.330945558739245
amphost001,42,0.43595745129418995
amphost001,43,0.44782608695652176
amphost001,44,33.019999999999996
amphost001,45,0.0
amphost001,46,
amphost001,48,
amphost002,0,48.376724137931035
amphost002,4,48.66153846153846
amphost002,5,47.97852348993289
amphost002,12,48.67692307692308
amphost002,15,47.37857142857144
amphost002,16,48.817647058823525
amphost002,21,0.526505082095387
amphost002,23,48.04404761904762
amphost002,24,48.09594594594594
amphost002,25,48.805882352941175
amphost002,26,48.811764705882354
amphost002,32,48.16486486486486
amphost002,33,48.028187919463086
amphost002,38,47.92388059701493
amphost002,47,48.05472972972973
amphost002,49,48.50695652173914
