node,task_id,mean_est
amphost002,0,
amphost002,4,
amphost002,5,5.0
amphost002,6,0.0
amphost002,7,
amphost002,8,5.0
amphost002,10,
amphost002,11,4.0
amphost002,12,4.0
amphost002,14,
amphost002,15,
amphost002,17,0.0
amphost002,18,
amphost002,19,4.0
amphost002,20,
amphost002,21,
amphost002,23,
amphost002,24,4.0
amphost002,25,
amphost002,26,4.970149253731344
amphost002,27,5.0
amphost002,28,
amphost002,29,5.0
amphost002,32,4.0
amphost002,33,
amphost002,34,4.0
amphost002,35,
amphost002,36,
amphost002,37,
amphost002,39,5.0
amphost002,41,
amphost002,44,
amphost002,45,3.5
amphost002,46,
amphost002,47,
amphost002,48,
amphost002,49,4.0
amphost001,1,3.0
amphost001,2,3.0
amphost001,3,3.0
amphost001,8,
amphost001,9,3.9523809523809526
amphost001,12,3.0
amphost001,13,3.0
amphost001,16,3.0
amphost001,22,3.0
amphost001,30,
amphost001,31,
amphost001,34,3.0
amphost001,38,3.9523809523809526
amphost001,40,3.0
amphost001,42,3.9523809523809526
amphost001,43,3.0
amphost001,44,
amphost001,45,3.0
amphost001,49,3.0
