node,task_id,mean_est
amphost002,6,3.0
amphost002,7,0.0
amphost002,8,0.0
amphost002,10,0.0
amphost002,11,1.0769230769230769
amphost002,12,
amphost002,15,0.0
amphost002,17,4.548387096774194
amphost002,19,3.0
amphost002,20,
amphost002,23,
amphost002,25,
amphost002,28,3.0
amphost002,31,
amphost002,32,
amphost002,34,
amphost002,36,3.0
amphost002,37,
amphost002,38,3.8
amphost002,40,3.0
amphost002,41,
amphost002,42,3.0
amphost002,43,
amphost002,44,
amphost002,48,
amphost002,49,
amphost003,0,1.0
amphost003,1,0.0
amphost003,2,0.0
amphost003,3,0.0
amphost003,4,0.5
amphost003,5,0.0
amphost003,9,1.0
amphost003,13,
amphost003,14,1.0
amphost003,15,0.5
amphost003,16,
amphost003,18,0.5
amphost003,19,0.0
amphost003,21,
amphost003,22,1.0
amphost003,23,0.0
amphost003,24,1.3
amphost003,26,0.06129032258064516
amphost003,27,
amphost003,29,
amphost003,30,0.0
amphost003,33,
amphost003,35,1.0
amphost003,39,
amphost003,41,0.0
amphost003,45,0.0
amphost003,46,1.0
amphost003,47,
amphost003,49,
