node,task_id,mean_est
x3003c0s13b0n0,0,49.2
x3003c0s13b0n0,2,46.0
x3003c0s13b0n0,5,44.88181818181818
x3003c0s13b0n0,7,25.900000000000002
x3003c0s13b0n0,10,24.0
x3003c0s13b0n0,21,17.05
x3003c0s13b0n0,29,42.0923076923077
x3003c0s13b0n0,32,48.9
x3003c0s13b0n0,36,24.2
x3003c0s13b0n0,38,25.400000000000002
x3003c0s13b0n0,46,48.962037037037035
x3003c0s13b0n0,47,41.06666666666667
x3003c0s13b1n0,0,48.9
x3003c0s13b1n0,4,48.70238095238095
x3003c0s13b1n0,5,39.90909090909091
x3003c0s13b1n0,7,24.900000000000002
x3003c0s13b1n0,10,17.5
x3003c0s13b1n0,17,34.199999999999996
x3003c0s13b1n0,21,14.649999999999999
x3003c0s13b1n0,29,41.376923076923084
x3003c0s13b1n0,37,48.61463414634146
x3003c0s13b1n0,38,26.05
x3003c0s13b1n0,40,40.061764705882354
x3003c0s13b1n0,47,12.65
x3003c0s13b1n0,49,40.35454545454546
x3003c0s19b0n0,0,49.1
x3003c0s19b0n0,5,47.21818181818182
x3003c0s19b0n0,7,26.25
x3003c0s19b0n0,8,48.70666666666666
x3003c0s19b0n0,10,17.1
x3003c0s19b0n0,13,1.75
x3003c0s19b0n0,21,16.5
x3003c0s19b0n0,28,46.194871794871794
x3003c0s19b0n0,29,40.69230769230769
x3003c0s19b0n0,30,45.35
x3003c0s19b0n0,33,36.4
x3003c0s19b0n0,34,11.8
x3003c0s19b0n0,38,24.95
x3003c0s19b0n0,40,41.864705882352936
x3003c0s19b0n0,49,40.32727272727272
x3003c0s19b1n0,0,48.7
x3003c0s19b1n0,2,45.17826086956522
x3003c0s19b1n0,5,45.11818181818182
x3003c0s19b1n0,7,24.7
x3003c0s19b1n0,9,36.06666666666667
x3003c0s19b1n0,10,19.4
x3003c0s19b1n0,14,38.3
x3003c0s19b1n0,19,48.815384615384616
x3003c0s19b1n0,21,14.6
x3003c0s19b1n0,23,48.670930232558135
x3003c0s19b1n0,29,45.01538461538461
x3003c0s19b1n0,30,42.074999999999996
x3003c0s19b1n0,34,11.6
x3003c0s19b1n0,36,3.3000000000000003
x3003c0s19b1n0,38,34.1
x3003c0s19b1n0,47,40.766666666666666
x3003c0s19b1n0,49,40.31818181818182
x3003c0s1b0n0,0,49.2
x3003c0s1b0n0,9,36.83018867924528
x3003c0s1b0n0,14,47.04685534591195
x3003c0s1b0n0,21,15.79685534591195
