node,task_id,mean_est
x3103c0s13b0n0,0,90.51052631578946
x3103c0s13b0n0,13,0.3
x3103c0s13b0n0,21,1.9285714285714286
x3103c0s13b0n0,23,78.53548387096775
x3103c0s13b1n0,0,91.76052631578948
x3103c0s13b1n0,22,1.6
x3103c0s13b1n0,23,26.870967741935484
x3103c0s13b1n0,24,1.5
x3103c0s13b1n0,25,2.3
x3103c0s13b1n0,26,0.8000000000000003
x3103c0s13b1n0,27,1.5666666666666658
x3103c0s13b1n0,28,0.9
x3103c0s13b1n0,41,79.64761904761905
x3103c0s19b1n0,0,86.10000000000002
x3103c0s19b1n0,29,1.6500000000000001
x3103c0s19b1n0,30,
x3103c0s19b1n0,31,2.05
x3103c0s19b1n0,32,1.7048780487804878
x3103c0s19b1n0,41,78.92369337979095
x3103c0s1b0n0,0,2.0
x3103c0s1b0n0,1,1.7380952380952381
x3103c0s1b0n0,33,1.461904761904762
x3103c0s1b0n0,34,1.630612244897959
x3103c0s1b0n0,41,74.54761904761905
x3103c0s1b1n0,2,1.6431372549019605
x3103c0s1b1n0,3,
x3103c0s1b1n0,4,46.96686274509804
x3103c0s1b1n0,35,1.6
x3103c0s1b1n0,36,1.6333333333333335
x3103c0s1b1n0,37,
x3103c0s1b1n0,38,0.6666666666666663
x3103c0s1b1n0,39,2.2857142857142856
x3103c0s1b1n0,40,
x3103c0s1b1n0,41,75.6857142857143
x3103c0s1b1n0,42,1.3642857142857148
x3103c0s1b1n0,43,1.6580645161290328
x3103c0s25b0n0,5,1.6555555555555557
x3103c0s25b0n0,6,1.6444444444444444
x3103c0s25b0n0,7,
x3103c0s25b0n0,8,
x3103c0s25b0n0,9,1.5068376068376066
x3103c0s25b0n0,10,1.5513105413105412
x3103c0s25b0n0,11,1.4196296296296296
x3103c0s25b0n0,41,74.78571428571426
x3103c0s25b0n0,44,37.11063829787234
x3103c0s25b1n0,12,1.6714285714285713
x3103c0s25b1n0,14,
x3103c0s25b1n0,15,1.6285714285714288
x3103c0s25b1n0,16,1.4642857142857144
x3103c0s25b1n0,17,1.5642857142857145
x3103c0s25b1n0,18,1.4501488095238095
x3103c0s25b1n0,19,1.4165178571428567
x3103c0s25b1n0,44,45.36413690476191
x3103c0s25b1n0,45,1.637777777777777
x3103c0s31b0n0,13,79.82772707518471
x3103c0s31b0n0,20,1.644067796610169
x3103c0s31b0n0,46,1.455932203389831
x3103c0s31b0n0,47,1.7519774011299436
x3103c0s31b0n0,48,1.4425141242937856
x3103c0s31b1n0,13,77.41282051282052
x3103c0s31b1n0,23,83.29594898724682
x3103c0s31b1n0,49,1.6395348837209298
x3103c0s37b0n0,0,91.13333333333335
x3103c0s37b0n0,13,79.69487179487179
x3103c0s37b0n0,23,80.76129032258062
