node,task_id,mean_est
x3001c0s37b1n0,1,0.3666666666666667
x3001c0s37b1n0,3,27.674999999999997
x3001c0s37b1n0,4,0.3333333333333333
x3001c0s37b1n0,9,17.76666666666667
x3001c0s37b1n0,10,30.46666666666667
x3001c0s37b1n0,12,46.4
x3001c0s37b1n0,15,40.300000000000004
x3001c0s37b1n0,20,35.82857142857143
x3001c0s37b1n0,24,2.1
x3001c0s37b1n0,27,3.5074074074074075
x3001c0s37b1n0,32,0.6
x3001c0s37b1n0,33,2.5
x3001c0s37b1n0,34,25.2
x3001c0s37b1n0,37,48.28148148148148
x3001c0s37b1n0,41,2.1
x3001c0s37b1n0,42,47.23333333333333
x3001c0s37b1n0,44,40.311764705882354
x3001c0s37b1n0,46,32.0
x3001c0s37b1n0,49,0.5
x3001c0s7b0n0,0,36.621428571428574
x3001c0s7b0n0,3,27.25
x3001c0s7b0n0,4,0.0
x3001c0s7b0n0,9,16.13416666666667
x3001c0s7b0n0,15,39.542857142857144
x3001c0s7b0n0,20,35.628571428571426
x3001c0s7b0n0,23,7.537037037037037
x3001c0s7b0n0,24,12.6
x3001c0s7b0n0,25,37.77894736842106
x3001c0s7b0n0,27,0.32962962962962966
x3001c0s7b0n0,33,1.7000000000000002
x3001c0s7b0n0,34,12.6
x3001c0s7b0n0,37,3.063796296296297
x3001c0s7b0n0,39,3.3324999999999996
x3001c0s7b0n0,41,29.5675
x3001c0s7b0n0,42,48.56666666666666
x3001c0s7b0n0,44,42.258823529411764
x3001c0s7b0n0,46,31.2
x3001c0s7b0n0,49,2.7675
x3001c0s7b1n0,0,42.63571428571429
x3001c0s7b1n0,3,27.424999999999997
x3001c0s7b1n0,9,17.233333333333334
x3001c0s7b1n0,14,48.527906976744184
x3001c0s7b1n0,15,39.32857142857143
x3001c0s7b1n0,18,47.9
x3001c0s7b1n0,20,35.58571428571428
x3001c0s7b1n0,21,45.9375
x3001c0s7b1n0,25,35.89473684210527
x3001c0s7b1n0,26,47.31666666666666
x3001c0s7b1n0,30,
x3001c0s7b1n0,31,45.84
x3001c0s7b1n0,33,1.75
x3001c0s7b1n0,37,0.040740740740740744
x3001c0s7b1n0,40,
x3001c0s7b1n0,41,1.7
x3001c0s7b1n0,44,40.017647058823535
x3001c0s7b1n0,46,30.8
x3001c0s7b1n0,47,13.75
x3004c0s7b0n0,0,38.76428571428571
x3004c0s7b0n0,3,26.95
x3004c0s7b0n0,15,10.714285714285714
x3004c0s7b0n0,16,
x3004c0s7b0n0,20,10.299999999999999
x3004c0s7b0n0,23,0.0
x3004c0s7b0n0,24,2.2
x3004c0s7b0n0,25,36.56842105263158
x3004c0s7b0n0,29,36.1
x3004c0s7b0n0,30,9.8
x3004c0s7b0n0,33,1.85
x3004c0s7b0n0,34,26.8
x3004c0s7b0n0,36,34.576
x3004c0s7b0n0,39,0.053333333333333344
x3004c0s7b0n0,44,43.95294117647059
x3004c0s7b0n0,46,30.3
x3004c0s7b0n0,47,13.3
x3005c0s1b0n0,0,39.75
x3005c0s1b0n0,1,32.95588235294118
x3005c0s1b0n0,3,26.95
x3005c0s1b0n0,5,13.018939393939391
x3005c0s1b0n0,7,
x3005c0s1b0n0,9,7.88921568627451
x3005c0s1b0n0,16,
x3005c0s1b0n0,22,3.181060606060608
x3005c0s1b0n0,24,1.6
x3005c0s1b0n0,25,36.96315789473684
x3005c0s1b0n0,30,
x3005c0s1b0n0,31,45.80088235294118
x3005c0s1b0n0,32,29.255882352941175
x3005c0s1b0n0,33,1.9
x3005c0s1b0n0,34,20.0
x3005c0s1b0n0,36,15.724999999999998
x3005c0s1b0n0,37,0.0003267973856209136
x3005c0s1b0n0,39,0.04411764705882353
x3005c0s1b0n0,41,1.7558823529411764
x3005c0s1b0n0,44,43.423529411764704
x3005c0s1b0n0,46,30.2
x3005c0s1b0n0,47,
x3005c0s37b0n0,0,40.142857142857146
x3005c0s37b0n0,1,32.93333333333333
x3005c0s37b0n0,3,26.050000000000004
x3005c0s37b0n0,7,36.5
x3005c0s37b0n0,8,48.3710843373494
x3005c0s37b0n0,10,27.8
x3005c0s37b0n0,12,42.73333333333333
x3005c0s37b0n0,15,39.05714285714286
x3005c0s37b0n0,20,35.34285714285714
x3005c0s37b0n0,24,1.9
x3005c0s37b0n0,25,36.73684210526316
x3005c0s37b0n0,32,29.8
x3005c0s37b0n0,33,1.7
x3005c0s37b0n0,34,26.2
x3005c0s37b0n0,44,43.064705882352946
x3005c0s37b0n0,46,45.0
x3005c0s37b1n0,0,36.16428571428572
x3005c0s37b1n0,1,31.53333333333333
x3005c0s37b1n0,2,8.85
x3005c0s37b1n0,3,3.84
x3005c0s37b1n0,4,37.52833333333333
x3005c0s37b1n0,7,5.933333333333334
x3005c0s37b1n0,10,20.466666666666665
x3005c0s37b1n0,12,37.53333333333334
x3005c0s37b1n0,14,44.69767441860465
x3005c0s37b1n0,15,37.48571428571428
x3005c0s37b1n0,17,0.8
x3005c0s37b1n0,18,44.0
x3005c0s37b1n0,19,5.85
x3005c0s37b1n0,20,35.385714285714286
x3005c0s37b1n0,24,1.7
x3005c0s37b1n0,25,38.71052631578947
x3005c0s37b1n0,31,3.2466666666666675
x3005c0s37b1n0,32,32.45
x3005c0s37b1n0,33,1.35
x3005c0s37b1n0,34,19.9
x3005c0s37b1n0,37,47.94444444444444
x3005c0s37b1n0,38,7.0
x3005c0s37b1n0,41,6.3
x3005c0s37b1n0,45,29.01666666666667
x3005c0s37b1n0,49,2.353333333333332
x3005c0s7b0n0,0,41.392857142857146
x3005c0s7b0n0,1,0.992592592592593
x3005c0s7b0n0,3,
x3005c0s7b0n0,4,1.4925925925925956
x3005c0s7b0n0,6,
x3005c0s7b0n0,11,13.97298474945534
x3005c0s7b0n0,15,39.17142857142857
x3005c0s7b0n0,16,
x3005c0s7b0n0,20,35.34285714285714
