node,task_id,mean_est
x3004c0s13b0n0,0,2.9
x3004c0s13b0n0,19,52.03076923076924
x3004c0s13b0n0,21,49.69222222222221
x3004c0s13b0n0,23,49.199999999999996
x3004c0s13b0n0,29,47.7
x3004c0s13b0n0,30,43.7
x3004c0s13b0n0,38,11.9
x3004c0s13b0n0,46,43.0
x3004c0s13b0n0,48,45.68409090909091
x3004c0s13b1n0,0,3.5
x3004c0s13b1n0,3,47.76
x3004c0s13b1n0,8,43.38181818181818
x3004c0s13b1n0,17,45.2
x3004c0s13b1n0,23,46.43333333333334
x3004c0s13b1n0,29,48.2
x3004c0s13b1n0,30,46.8
x3004c0s13b1n0,38,31.1
x3004c0s13b1n0,46,13.5
x3004c0s13b1n0,48,48.1159090909091
x3004c0s19b0n0,4,24.014285714285712
x3004c0s19b0n0,10,16.08095238095238
x3004c0s19b0n0,12,31.028070175438597
x3004c0s19b0n0,15,0.0
x3004c0s19b0n0,22,12.300000000000006
x3004c0s19b0n0,24,2.205263157894737
x3004c0s19b0n0,27,49.361538461538466
x3004c0s19b0n0,28,48.95060240963856
x3004c0s19b0n0,29,48.0
x3004c0s19b0n0,33,2.685714285714286
x3004c0s19b0n0,34,24.41428571428571
x3004c0s19b0n0,38,31.75
x3004c0s19b0n0,39,40.36629072681705
x3004c0s19b0n0,45,23.41428571428571
x3004c0s19b0n0,47,25.5
x3004c0s19b1n0,0,3.05
x3004c0s19b1n0,6,38.175
x3004c0s19b1n0,8,44.31818181818182
x3004c0s19b1n0,11,48.531111111111116
x3004c0s19b1n0,12,38.309999999999995
x3004c0s19b1n0,17,44.7
x3004c0s19b1n0,25,49.37692307692308
x3004c0s19b1n0,29,48.1
x3004c0s19b1n0,30,48.2
x3004c0s19b1n0,36,1.59
x3004c0s19b1n0,38,32.6
x3004c0s19b1n0,39,6.676666666666667
x3004c0s19b1n0,46,43.9
x3004c0s19b1n0,47,25.75
x3004c0s1b0n0,0,4.0
x3004c0s1b0n0,1,24.75
x3004c0s1b0n0,5,45.88400000000001
x3004c0s1b0n0,6,46.8
x3004c0s1b0n0,8,44.11818181818182
x3004c0s1b0n0,13,49.23809523809524
x3004c0s1b0n0,17,37.6
x3004c0s1b0n0,29,47.2
x3004c0s1b0n0,30,12.7
x3004c0s1b0n0,31,17.933333333333334
x3004c0s1b0n0,38,31.0
x3004c0s1b0n0,46,48.8
x3004c0s1b0n0,47,26.1
x3004c0s1b1n0,0,2.8
x3004c0s1b1n0,1,25.9
x3004c0s1b1n0,8,43.5
x3004c0s1b1n0,17,45.7
x3004c0s1b1n0,29,47.9
x3004c0s1b1n0,30,47.0
x3004c0s1b1n0,32,49.46666666666666
x3004c0s1b1n0,38,31.65
x3004c0s1b1n0,42,48.77272727272727
x3004c0s1b1n0,46,42.9
x3004c0s1b1n0,47,25.7
x3004c0s25b0n0,0,2.95
x3004c0s25b0n0,1,27.55
x3004c0s25b0n0,3,1.7
x3004c0s25b0n0,8,43.554545454545455
x3004c0s25b0n0,10,0.0
x3004c0s25b0n0,12,0.0
x3004c0s25b0n0,15,15.625454545454545
x3004c0s25b0n0,17,38.2
x3004c0s25b0n0,18,3.2209625668449138
x3004c0s25b0n0,20,0.39999999999999997
x3004c0s25b0n0,29,48.2
x3004c0s25b0n0,30,39.9
x3004c0s25b0n0,31,0.0
x3004c0s25b0n0,35,15.767272727272733
x3004c0s25b0n0,38,32.2
x3004c0s25b0n0,41,12.266310160427809
x3004c0s25b0n0,46,46.1
x3004c0s25b0n0,47,0.0
x3004c0s25b1n0,0,3.2
x3004c0s25b1n0,1,48.0
x3004c0s25b1n0,5,44.82
x3004c0s25b1n0,7,49.44941176470587
x3004c0s25b1n0,8,42.33636363636364
x3004c0s25b1n0,17,45.9
x3004c0s25b1n0,29,48.1
x3004c0s25b1n0,30,40.9
x3004c0s25b1n0,38,31.8
x3004c0s25b1n0,40,32.125
x3004c0s25b1n0,43,48.666666666666664
x3004c0s25b1n0,46,41.1
x3004c0s31b0n0,0,2.75
x3004c0s31b0n0,2,2.967933130699089
x3004c0s31b0n0,5,43.83599999999999
x3004c0s31b0n0,8,42.43636363636364
x3004c0s31b0n0,9,3.16063829787234
x3004c0s31b0n0,14,12.95142857142857
x3004c0s31b0n0,15,14.871428571428575
x3004c0s31b0n0,16,3.020000000000003
x3004c0s31b0n0,17,45.6
x3004c0s31b0n0,26,0.3893617021276606
x3004c0s31b0n0,29,22.699999999999996
x3004c0s31b0n0,30,40.7
x3004c0s31b0n0,35,25.2
x3004c0s31b0n0,38,33.05
x3004c0s31b0n0,39,21.40833333333333
x3004c0s31b0n0,44,0.0
x3004c0s31b0n0,46,42.3
x3004c0s31b1n0,0,5.2
x3004c0s31b1n0,5,46.29600000000001
x3004c0s31b1n0,8,42.6
x3004c0s31b1n0,17,40.0
x3004c0s31b1n0,29,48.1
x3004c0s31b1n0,30,44.8
x3004c0s31b1n0,37,48.979761904761894
x3004c0s31b1n0,38,30.8
x3004c0s31b1n0,40,35.0
x3004c0s31b1n0,43,45.166666666666664
x3004c0s31b1n0,46,44.6
x3004c0s31b1n0,49,48.84
