node,task_id,mean_est
x3015c0s13b0n0,6,2.0333333333333337
x3015c0s13b0n0,9,
x3015c0s13b0n0,34,
x3015c0s13b0n0,35,38.95
x3015c0s13b0n0,36,33.266666666666666
x3015c0s13b0n0,39,
x3015c0s13b0n0,41,
x3015c0s13b1n0,5,35.81999999999999
x3015c0s13b1n0,9,0.36666666666666475
x3015c0s13b1n0,19,1.761111111111111
x3015c0s13b1n0,35,37.0
x3015c0s13b1n0,38,24.03888888888889
x3015c0s13b1n0,39,0.0
x3015c0s19b0n0,9,30.371212121212125
x3015c0s19b0n0,11,
x3015c0s19b0n0,15,1.6954545454545455
x3015c0s19b0n0,32,
x3015c0s19b0n0,35,36.849999999999994
x3015c0s19b1n0,5,36.84
x3015c0s19b1n0,9,30.599999999999998
x3015c0s19b1n0,11,20.2
x3015c0s19b1n0,35,36.599999999999994
x3015c0s1b0n0,7,3.3000000000000003
x3015c0s1b0n0,9,
x3015c0s1b0n0,10,
x3015c0s1b0n0,11,
x3015c0s1b0n0,14,
x3015c0s1b0n0,17,
x3015c0s1b0n0,33,
x3015c0s1b0n0,35,36.25
x3015c0s1b0n0,44,1.5875
x3015c0s1b1n0,4,1.345
x3015c0s1b1n0,8,24.533333333333335
x3015c0s1b1n0,9,19.950000000000003
x3015c0s1b1n0,13,1.8659090909090914
x3015c0s1b1n0,29,1.7090909090909088
x3015c0s1b1n0,35,36.3
x3015c0s1b1n0,45,1.9800000000000002
x3015c0s1b1n0,47,6.116666666666668
x3015c0s1b1n0,49,10.7
x3015c0s25b0n0,2,12.233333333333329
x3015c0s25b0n0,9,0.02222222222222392
x3015c0s25b0n0,12,25.081666666666667
x3015c0s25b0n0,26,
x3015c0s25b0n0,35,35.5
x3015c0s25b0n0,43,1.685
x3015c0s25b1n0,3,24.933333333333334
x3015c0s25b1n0,18,8.900000000000002
x3015c0s25b1n0,26,
x3015c0s25b1n0,27,8.041666666666668
x3015c0s25b1n0,31,5.188888888888889
x3015c0s25b1n0,35,15.075
x3015c0s25b1n0,36,31.8
x3015c0s25b1n0,37,1.711111111111111
x3015c0s31b0n0,0,1.5142857142857133
x3015c0s31b0n0,16,6.300000000000001
x3015c0s31b0n0,20,0.6000000000000014
x3015c0s31b0n0,21,2.457142857142857
x3015c0s31b0n0,22,1.0333333333333334
x3015c0s31b0n0,23,1.66
x3015c0s31b0n0,24,1.6066666666666667
x3015c0s31b0n0,25,2.0999999999999983
x3015c0s31b0n0,27,4.099999999999998
x3015c0s31b0n0,28,6.885714285714285
x3015c0s31b0n0,30,13.350000000000001
x3015c0s31b0n0,40,1.2000000000000022
x3015c0s31b0n0,46,1.6428571428571437
x3015c0s31b1n0,1,0.8000000000000007
x3015c0s31b1n0,9,0.0
x3015c0s31b1n0,18,1.1000000000000014
x3015c0s31b1n0,35,32.55
x3015c0s31b1n0,39,12.599999999999998
x3015c0s31b1n0,42,23.993333333333332
x3015c0s31b1n0,48,1.6066666666666665
