node,task_id,mean_est
x3002c0s1b1n0,1,48.98474576271187
x3002c0s1b1n0,44,49.41460674157303
x3002c0s1b1n0,46,47.784615384615385
x3002c0s25b0n0,2,1.7961538461538462
x3002c0s25b0n0,3,
x3002c0s25b0n0,33,1.8617224880382777
x3002c0s25b0n0,34,
x3002c0s25b0n0,42,48.7
x3002c0s25b0n0,45,
x3002c0s25b0n0,48,2.9816239316239312
x3002c0s25b0n0,49,
x3002c0s25b1n0,4,1.875
x3002c0s25b1n0,5,25.693333333333335
x3002c0s25b1n0,19,48.91204819277108
x3002c0s25b1n0,35,11.8
x3002c0s25b1n0,36,2.9175925925925927
x3002c0s25b1n0,37,1.5740740740740737
x3002c0s31b0n0,6,47.730000000000004
x3002c0s31b0n0,20,1.7421052631578944
x3002c0s31b0n0,23,48.832954545454534
x3002c0s31b1n0,7,48.86379310344827
x3002c0s31b1n0,25,48.82333333333334
x3002c0s37b0n0,8,1.4131578947368422
x3002c0s37b0n0,9,
x3002c0s37b0n0,14,1.8368421052631578
x3002c0s37b0n0,15,1.8
x3002c0s37b0n0,16,1.7879310344827586
x3002c0s37b0n0,21,
x3002c0s37b0n0,22,49.03076923076923
x3002c0s37b0n0,24,1.3214285714285716
x3002c0s37b0n0,26,
x3002c0s37b0n0,28,
x3002c0s37b0n0,29,
x3002c0s37b0n0,41,23.163157894736845
x3002c0s7b0n0,10,48.893975903614454
x3002c0s7b0n0,43,48.93529411764706
x3005c0s31b1n0,11,48.787777777777784
x3005c0s31b1n0,30,1.794444444444444
x3005c0s37b0n0,12,1.7647058823529413
x3005c0s37b0n0,13,2.9924369747899164
x3005c0s37b0n0,17,45.484615384615374
x3005c0s37b0n0,18,2.126470588235294
x3005c0s37b0n0,27,1.7478260869565216
x3005c0s37b0n0,32,24.880000000000003
x3005c0s37b0n0,38,12.569999999999997
x3005c0s37b0n0,39,0.7428571428571424
x3005c0s37b0n0,40,1.9299999999999997
x3005c0s37b0n0,47,2.0
x3005c0s37b1n0,0,48.953012048192775
x3005c0s37b1n0,31,48.96931818181818
