node,task_id,mean_est
x3003c0s13b0n0,2,0.3857868020304558
x3003c0s13b0n0,3,5.9
x3003c0s13b0n0,7,0.3857868020304558
x3003c0s13b0n0,9,
x3003c0s13b0n0,12,
x3003c0s13b0n0,13,0.3857868020304558
x3003c0s13b0n0,15,0.3857868020304558
x3003c0s13b0n0,20,
x3003c0s13b0n0,27,25.614213197969544
x3003c0s13b0n0,29,0.0
x3003c0s13b0n0,34,
x3003c0s13b0n0,36,
x3003c0s13b0n0,37,0.0
x3003c0s13b0n0,40,0.3857868020304558
x3003c0s13b0n0,48,0.3857868020304558
x3003c0s13b0n0,49,
x3003c0s13b1n0,2,4.0
x3003c0s13b1n0,3,5.9
x3003c0s13b1n0,7,4.0
x3003c0s13b1n0,13,3.5
x3003c0s13b1n0,15,4.0
x3003c0s13b1n0,39,5.475409836065574
x3003c0s13b1n0,40,4.0
x3003c0s13b1n0,41,6.413793103448276
x3003c0s13b1n0,48,4.5
x3003c0s19b0n0,3,4.9
x3003c0s19b0n0,39,5.0
x3003c0s19b0n0,43,5.795454545454546
x3003c0s19b1n0,2,4.0
x3003c0s19b1n0,3,4.9
x3003c0s19b1n0,7,4.0
x3003c0s19b1n0,13,3.5
x3003c0s19b1n0,15,3.5
x3003c0s19b1n0,16,6.896551724137931
x3003c0s19b1n0,30,5.0
x3003c0s19b1n0,40,3.5
x3003c0s19b1n0,42,4.953488372093023
x3003c0s19b1n0,48,3.75
x3003c0s1b0n0,0,3.0
x3003c0s1b0n0,2,4.0
x3003c0s1b0n0,3,4.0
x3003c0s1b0n0,7,4.0
x3003c0s1b0n0,13,3.5
x3003c0s1b0n0,15,3.5
x3003c0s1b0n0,17,3.0
x3003c0s1b0n0,18,0.0
x3003c0s1b0n0,20,0.0
x3003c0s1b0n0,22,3.0
x3003c0s1b0n0,25,5.0
x3003c0s1b0n0,26,5.0
x3003c0s1b0n0,40,3.5
x3003c0s1b0n0,48,4.5
x3003c0s1b0n0,49,3.6666666666666665
x3003c0s1b1n0,2,4.0
x3003c0s1b1n0,3,4.0
x3003c0s1b1n0,7,4.0
x3003c0s1b1n0,13,3.5
x3003c0s1b1n0,15,3.5
x3003c0s1b1n0,25,4.6
x3003c0s1b1n0,40,3.5
x3003c0s1b1n0,44,5.0
x3003c0s1b1n0,48,4.5
x3003c0s25b0n0,2,9.0
x3003c0s25b0n0,3,4.9
x3003c0s25b0n0,5,11.0
x3003c0s25b0n0,7,9.0
x3003c0s25b0n0,13,9.0
x3003c0s25b0n0,15,9.0
x3003c0s25b0n0,20,0.0
x3003c0s25b0n0,24,0.0
x3003c0s25b0n0,25,
x3003c0s25b0n0,29,0.0
x3003c0s25b0n0,31,11.0
x3003c0s25b0n0,32,
x3003c0s25b0n0,34,
x3003c0s25b0n0,36,
x3003c0s25b0n0,40,9.0
x3003c0s25b0n0,48,9.75
x3003c0s25b1n0,2,14.0
x3003c0s25b1n0,3,4.9
x3003c0s25b1n0,7,14.0
x3003c0s25b1n0,11,0.0
x3003c0s25b1n0,13,13.5
x3003c0s25b1n0,15,14.0
x3003c0s25b1n0,24,0.0
x3003c0s25b1n0,29,0.0
x3003c0s25b1n0,33,15.0
x3003c0s25b1n0,36,4.0
x3003c0s25b1n0,40,14.0
x3003c0s25b1n0,45,0.0
x3003c0s25b1n0,48,14.666666666666666
x3003c0s25b1n0,49,0.0
x3003c0s37b1n0,1,
x3003c0s37b1n0,2,13.0
x3003c0s37b1n0,3,
x3003c0s37b1n0,7,13.0
x3003c0s37b1n0,8,
x3003c0s37b1n0,10,2.0
x3003c0s37b1n0,13,12.5
x3003c0s37b1n0,14,
x3003c0s37b1n0,15,12.5
x3003c0s37b1n0,19,14.866666666666667
x3003c0s37b1n0,20,0.4
x3003c0s37b1n0,21,12.0
x3003c0s37b1n0,23,
x3003c0s37b1n0,24,0.0
x3003c0s37b1n0,28,0.0
x3003c0s37b1n0,29,0.0
x3003c0s37b1n0,34,0.0
x3003c0s37b1n0,35,
x3003c0s37b1n0,36,
x3003c0s37b1n0,38,
x3003c0s37b1n0,40,12.5
x3003c0s37b1n0,42,14.0
x3003c0s37b1n0,46,
x3003c0s37b1n0,47,0.0
x3003c0s37b1n0,48,13.5
x3003c0s37b1n0,49,0.26666666666666666
x3003c0s7b0n0,2,2.0
x3003c0s7b0n0,3,3.0
x3003c0s7b0n0,4,4.0
x3003c0s7b0n0,6,7.0
x3003c0s7b0n0,7,2.0
x3003c0s7b0n0,13,2.5
x3003c0s7b0n0,15,2.5
x3003c0s7b0n0,40,2.5
x3003c0s7b0n0,48,3.5
