node,task_id,mean_est
x3103c0s13b0n0,0,4.0
x3103c0s13b0n0,13,3.0
x3103c0s13b0n0,21,3.0
x3103c0s13b0n0,23,3.967741935483871
x3103c0s13b1n0,0,3.948717948717949
x3103c0s13b1n0,22,3.0
x3103c0s13b1n0,23,0.967741935483871
x3103c0s13b1n0,24,0.0
x3103c0s13b1n0,25,1.0
x3103c0s13b1n0,26,0.0
x3103c0s13b1n0,27,0.0
x3103c0s13b1n0,28,24.0
x3103c0s13b1n0,41,23.0
x3103c0s19b1n0,0,3.948717948717949
x3103c0s19b1n0,29,3.0
x3103c0s19b1n0,30,
x3103c0s19b1n0,31,0.0
x3103c0s19b1n0,32,23.991935483870968
x3103c0s19b1n0,41,0.958064516129032
x3103c0s1b0n0,0,3.0
x3103c0s1b0n0,1,3.0
x3103c0s1b0n0,33,0.0
x3103c0s1b0n0,34,14.3125
x3103c0s1b0n0,41,13.0
x3103c0s1b1n0,2,3.0
x3103c0s1b1n0,3,
x3103c0s1b1n0,4,0.0
x3103c0s1b1n0,35,3.0
x3103c0s1b1n0,36,2.0
x3103c0s1b1n0,37,
x3103c0s1b1n0,38,0.0
x3103c0s1b1n0,39,3.3333333333333335
x3103c0s1b1n0,40,
x3103c0s1b1n0,41,22.95
x3103c0s1b1n0,42,4.0
x3103c0s1b1n0,43,22.0
x3103c0s25b0n0,5,10.777777777777779
x3103c0s25b0n0,6,0.0
x3103c0s25b0n0,7,
x3103c0s25b0n0,8,
x3103c0s25b0n0,9,0.8376068376068369
x3103c0s25b0n0,10,2.350132625994695
x3103c0s25b0n0,11,0.0
x3103c0s25b0n0,41,12.95
x3103c0s25b0n0,44,13.957446808510639
x3103c0s25b1n0,12,3.0
x3103c0s25b1n0,14,
x3103c0s25b1n0,15,0.0
x3103c0s25b1n0,16,0.3333333333333333
x3103c0s25b1n0,17,0.0
x3103c0s25b1n0,18,9.746376811594203
x3103c0s25b1n0,19,0.0
x3103c0s25b1n0,44,2.9202898550724634
x3103c0s25b1n0,45,13.0
x3103c0s31b0n0,13,1.0
x3103c0s31b0n0,20,3.0
x3103c0s31b0n0,46,0.5
x3103c0s31b0n0,47,0.25
x3103c0s31b0n0,48,1.8125
x3103c0s31b1n0,13,3.0
x3103c0s31b1n0,23,1.967741935483871
x3103c0s31b1n0,49,2.0
x3103c0s37b0n0,0,3.973684210526316
x3103c0s37b0n0,13,3.9743589743589745
x3103c0s37b0n0,23,4.0
