node,task_id,mean_est
x3002c0s1b0n0,0,0.0
x3002c0s1b0n0,1,3.0
x3002c0s1b0n0,2,3.0
x3002c0s1b0n0,4,4.0
x3002c0s1b0n0,5,3.0
x3002c0s1b0n0,8,3.5
x3002c0s1b0n0,13,3.0
x3002c0s1b0n0,14,3.0
x3002c0s1b0n0,22,3.5
x3002c0s1b0n0,23,3.0
x3002c0s1b0n0,25,
x3002c0s1b0n0,32,3.5
x3002c0s1b0n0,36,3.0
x3002c0s1b0n0,39,4.826086956521739
x3002c0s1b0n0,41,3.0
x3002c0s1b0n0,44,3.0
x3002c0s1b0n0,45,3.9166666666666665
x3002c0s1b0n0,46,3.0
x3002c0s1b0n0,47,3.0
x3002c0s1b0n0,48,4.0
x3005c0s13b0n0,1,3.0
x3005c0s13b0n0,4,3.0
x3005c0s13b0n0,5,3.0
x3005c0s13b0n0,11,2.6666666666666665
x3005c0s13b0n0,14,2.5
x3005c0s13b0n0,20,3.953488372093023
x3005c0s13b0n0,41,3.0
x3005c0s13b0n0,44,3.0
x3005c0s13b0n0,45,3.0
x3005c0s13b0n0,48,3.0
x3208c0s25b0n0,1,3.0
x3208c0s25b0n0,4,3.0
x3208c0s25b0n0,5,3.0
x3208c0s25b0n0,11,2.6666666666666665
x3208c0s25b0n0,14,2.0
x3208c0s25b0n0,20,2.9767441860465116
x3208c0s25b0n0,41,2.0
x3208c0s25b0n0,44,2.0
x3208c0s25b0n0,45,2.9166666666666665
x3208c0s25b0n0,48,3.0
x3208c0s25b1n0,1,3.0
x3208c0s25b1n0,2,2.75
x3208c0s25b1n0,4,3.0
x3208c0s25b1n0,5,3.0
x3208c0s25b1n0,6,2.5
x3208c0s25b1n0,8,2.5
x3208c0s25b1n0,13,3.0
x3208c0s25b1n0,14,2.5
x3208c0s25b1n0,16,2.0
x3208c0s25b1n0,22,2.3333333333333335
x3208c0s25b1n0,24,3.0
x3208c0s25b1n0,25,2.0
x3208c0s25b1n0,32,3.0
x3208c0s25b1n0,39,3.869565217391304
x3208c0s25b1n0,41,2.0
x3208c0s25b1n0,44,2.5
x3208c0s25b1n0,45,2.9166666666666665
x3208c0s25b1n0,47,2.0
x3208c0s25b1n0,48,3.0
x3208c0s31b0n0,1,3.0
x3208c0s31b0n0,2,0.5
x3208c0s31b0n0,4,3.0
x3208c0s31b0n0,5,3.0
x3208c0s31b0n0,6,0.0
x3208c0s31b0n0,8,0.0
x3208c0s31b0n0,11,0.4761904761904761
x3208c0s31b0n0,14,2.0
x3208c0s31b0n0,22,2.0
x3208c0s31b0n0,25,0.0
x3208c0s31b0n0,28,5.333333333333333
x3208c0s31b0n0,29,5.0
x3208c0s31b0n0,32,0.0
x3208c0s31b0n0,39,3.857142857142857
x3208c0s31b0n0,41,2.0
x3208c0s31b0n0,43,3.0
x3208c0s31b0n0,44,2.5
x3208c0s31b0n0,47,0.0
x3208c0s31b0n0,48,3.0
x3208c0s31b1n0,4,3.0
x3208c0s31b1n0,5,3.0
x3208c0s31b1n0,11,2.6666666666666665
x3208c0s31b1n0,14,2.0
x3208c0s31b1n0,28,4.5
x3208c0s31b1n0,29,4.868421052631579
x3208c0s31b1n0,41,2.0
x3208c0s31b1n0,43,3.0
x3208c0s31b1n0,44,2.0
x3208c0s31b1n0,45,2.9166666666666665
x3208c0s31b1n0,48,3.0
x3208c0s37b0n0,0,0.0
x3208c0s37b0n0,2,0.0
x3208c0s37b0n0,4,3.0
x3208c0s37b0n0,5,3.0
x3208c0s37b0n0,6,0.0
x3208c0s37b0n0,8,0.0
x3208c0s37b0n0,12,0.0
x3208c0s37b0n0,14,2.5
x3208c0s37b0n0,15,2.0
x3208c0s37b0n0,19,0.0
x3208c0s37b0n0,21,
x3208c0s37b0n0,24,1.0
x3208c0s37b0n0,26,
x3208c0s37b0n0,27,1.0
x3208c0s37b0n0,28,1.0
x3208c0s37b0n0,29,3.0
x3208c0s37b0n0,32,0.0
x3208c0s37b0n0,33,2.0
x3208c0s37b0n0,35,0.0
x3208c0s37b0n0,39,3.9
x3208c0s37b0n0,40,
x3208c0s37b0n0,41,2.0
x3208c0s37b0n0,44,2.5
x3208c0s37b0n0,45,2.9166666666666665
x3208c0s37b0n0,47,0.0
x3208c0s37b0n0,48,3.0
x3208c0s37b1n0,0,0.0
x3208c0s37b1n0,1,3.0
x3208c0s37b1n0,2,2.75
x3208c0s37b1n0,4,3.0
x3208c0s37b1n0,5,3.0
x3208c0s37b1n0,6,0.5882352941176467
x3208c0s37b1n0,7,
x3208c0s37b1n0,8,3.0
x3208c0s37b1n0,12,
x3208c0s37b1n0,14,2.5
x3208c0s37b1n0,15,5.411764705882353
x3208c0s37b1n0,19,3.0
x3208c0s37b1n0,21,
x3208c0s37b1n0,25,
x3208c0s37b1n0,26,
x3208c0s37b1n0,32,2.0
x3208c0s37b1n0,39,2.9565217391304346
x3208c0s37b1n0,40,
x3208c0s37b1n0,41,2.0
x3208c0s37b1n0,44,3.0
x3208c0s37b1n0,45,3.0
x3208c0s37b1n0,47,2.6666666666666665
x3208c0s37b1n0,48,3.0
x3208c0s37b1n0,49,0.0
x3208c0s7b0n0,0,
x3208c0s7b0n0,1,3.0
x3208c0s7b0n0,2,2.75
x3208c0s7b0n0,3,
x3208c0s7b0n0,4,
x3208c0s7b0n0,5,3.0
x3208c0s7b0n0,6,
x3208c0s7b0n0,7,
x3208c0s7b0n0,8,
x3208c0s7b0n0,9,
x3208c0s7b0n0,10,
x3208c0s7b0n0,11,0.6666666666666666
x3208c0s7b0n0,14,2.5
x3208c0s7b0n0,15,
x3208c0s7b0n0,17,
x3208c0s7b0n0,18,
x3208c0s7b0n0,19,
x3208c0s7b0n0,21,
x3208c0s7b0n0,24,
x3208c0s7b0n0,25,
x3208c0s7b0n0,26,
x3208c0s7b0n0,30,
x3208c0s7b0n0,31,
x3208c0s7b0n0,32,
x3208c0s7b0n0,34,
x3208c0s7b0n0,36,
x3208c0s7b0n0,38,
x3208c0s7b0n0,39,2.0
x3208c0s7b0n0,40,
x3208c0s7b0n0,41,2.0
