node,task_id,mean_est
x3001c0s13b0n0,2,8.689655172413794
x3001c0s13b0n0,7,2.0
x3001c0s13b0n0,14,8.777777777777779
x3001c0s13b0n0,21,3.8333333333333335
x3001c0s13b0n0,29,9.0
x3001c0s13b0n0,32,8.807692307692308
x3001c0s13b0n0,35,7.5
x3001c0s13b0n0,39,0.0
x3001c0s13b1n0,20,4.981981981981982
x3001c0s13b1n0,21,3.8333333333333335
x3001c0s13b1n0,35,2.0
x3001c0s19b0n0,16,3.0
x3001c0s19b0n0,19,8.807692307692308
x3001c0s19b0n0,21,3.8333333333333335
x3001c0s19b0n0,39,0.0
x3001c0s19b0n0,41,9.0
x3001c0s19b0n0,48,8.88888888888889
x3001c0s19b1n0,16,3.0
x3001c0s19b1n0,21,3.8333333333333335
x3001c0s19b1n0,29,4.0
x3001c0s19b1n0,35,2.0
x3001c0s19b1n0,38,5.931034482758621
x3001c0s19b1n0,49,3.9836065573770494
x3001c0s1b1n0,0,3.988095238095238
x3001c0s1b1n0,4,7.742857142857143
x3001c0s1b1n0,21,3.8333333333333335
x3001c0s1b1n0,35,7.0
x3001c0s25b0n0,5,8.74074074074074
x3001c0s25b0n0,21,3.8333333333333335
x3001c0s25b0n0,22,9.0
x3001c0s25b0n0,24,8.814814814814815
x3001c0s25b0n0,35,7.5
x3001c0s25b0n0,44,2.3823529411764706
x3001c0s25b1n0,8,10.0
x3001c0s25b1n0,12,9.0
x3001c0s25b1n0,21,3.8333333333333335
x3001c0s25b1n0,35,7.0
x3001c0s25b1n0,37,0.0
x3001c0s25b1n0,39,0.0
x3001c0s25b1n0,42,0.0
x3001c0s25b1n0,44,0.5909090909090909
x3001c0s25b1n0,47,0.0
x3001c0s31b1n0,6,
x3001c0s31b1n0,9,
x3001c0s31b1n0,18,9.8
x3001c0s31b1n0,21,
x3001c0s31b1n0,30,0.0
x3001c0s31b1n0,31,9.909090909090908
x3001c0s31b1n0,33,0.0
x3001c0s31b1n0,35,8.0
x3001c0s31b1n0,40,9.814814814814815
x3001c0s31b1n0,42,0.0
x3001c0s31b1n0,43,9.814814814814815
x3001c0s31b1n0,45,0.0
x3001c0s37b1n0,1,13.0
x3001c0s37b1n0,3,
x3001c0s37b1n0,6,
x3001c0s37b1n0,10,
x3001c0s37b1n0,11,
x3001c0s37b1n0,13,
x3001c0s37b1n0,15,12.0
x3001c0s37b1n0,17,0.0
x3001c0s37b1n0,23,
x3001c0s37b1n0,25,
x3001c0s37b1n0,26,
x3001c0s37b1n0,28,
x3001c0s37b1n0,35,10.0
x3001c0s37b1n0,36,12.0
x3001c0s37b1n0,46,
x3001c0s7b0n0,21,6.833333333333333
x3001c0s7b0n0,27,7.741573033707865
x3001c0s7b0n0,34,10.666666666666666
x3001c0s7b0n0,35,10.0
