node,task_id,mean_est
x3015c0s13b0n0,14,9.0
x3015c0s13b0n0,25,0.0
x3015c0s13b0n0,31,8.5
x3015c0s13b0n0,38,3.0
x3015c0s13b0n0,46,10.0
x3015c0s13b0n0,48,4.0
x3015c0s13b1n0,4,3.8
x3015c0s13b1n0,5,10.0
x3015c0s13b1n0,6,9.8
x3015c0s13b1n0,26,8.0
x3015c0s13b1n0,27,0.0
x3015c0s13b1n0,31,8.0
x3015c0s13b1n0,37,0.0
x3015c0s13b1n0,48,4.0
x3015c0s19b0n0,14,8.0
x3015c0s19b0n0,18,3.0
x3015c0s19b0n0,26,8.0
x3015c0s19b0n0,28,8.303030303030303
x3015c0s19b0n0,37,3.923076923076923
x3015c0s19b0n0,48,4.0
x3015c0s19b1n0,14,9.0
x3015c0s19b1n0,16,8.6
x3015c0s19b1n0,18,3.75
x3015c0s19b1n0,26,8.0
x3015c0s19b1n0,31,8.5
x3015c0s19b1n0,37,4.0
x3015c0s19b1n0,48,4.0
x3015c0s1b0n0,11,
x3015c0s1b0n0,21,
x3015c0s1b0n0,24,
x3015c0s1b0n0,25,
x3015c0s1b0n0,26,9.0
x3015c0s1b0n0,29,
x3015c0s1b0n0,30,9.9375
x3015c0s1b0n0,32,
x3015c0s1b0n0,33,0.0
x3015c0s1b0n0,37,
x3015c0s1b0n0,45,
x3015c0s1b0n0,48,4.0
x3015c0s1b0n0,49,10.0
x3015c0s1b1n0,10,8.454545454545455
x3015c0s1b1n0,14,8.0
x3015c0s1b1n0,19,3.0
x3015c0s1b1n0,26,8.0
x3015c0s1b1n0,31,8.0
x3015c0s1b1n0,48,4.0
x3015c0s25b0n0,2,9.866666666666667
x3015c0s25b0n0,9,0.0
x3015c0s25b0n0,12,0.0
x3015c0s25b0n0,14,8.0
x3015c0s25b0n0,15,0.0
x3015c0s25b0n0,17,0.0
x3015c0s25b0n0,21,
x3015c0s25b0n0,24,0.0
x3015c0s25b0n0,25,0.0
x3015c0s25b0n0,26,8.0
x3015c0s25b0n0,31,8.0
x3015c0s25b0n0,41,10.0
x3015c0s25b0n0,48,4.0
x3015c0s25b1n0,3,0.0
x3015c0s25b1n0,13,5.0
x3015c0s25b1n0,14,9.0
x3015c0s25b1n0,20,9.714285714285714
x3015c0s25b1n0,26,9.0
x3015c0s25b1n0,31,8.5
x3015c0s25b1n0,48,0.0
x3015c0s31b0n0,1,10.0
x3015c0s31b0n0,7,
x3015c0s31b0n0,8,0.0
x3015c0s31b0n0,13,
x3015c0s31b0n0,14,9.0
x3015c0s31b0n0,21,
x3015c0s31b0n0,22,
x3015c0s31b0n0,25,0.0
x3015c0s31b0n0,26,9.0
x3015c0s31b0n0,31,8.5
x3015c0s31b0n0,34,
x3015c0s31b0n0,36,0.0
x3015c0s31b0n0,39,
x3015c0s31b0n0,40,
x3015c0s31b0n0,42,9.814814814814815
x3015c0s31b0n0,44,1.0
x3015c0s31b0n0,47,0.0
x3015c0s31b1n0,0,0.0
x3015c0s31b1n0,11,0.0
x3015c0s31b1n0,14,9.0
x3015c0s31b1n0,23,9.8
x3015c0s31b1n0,25,0.0
x3015c0s31b1n0,31,8.5
x3015c0s31b1n0,35,0.0
x3015c0s31b1n0,43,10.0
x3015c0s31b1n0,48,4.0
