node,task_id,mean_est
amphost001,0,0.5326213592233009
amphost001,1,16.0
amphost001,2,
amphost001,3,
amphost001,4,0.7223529411764708
amphost001,5,
amphost001,6,
amphost001,7,
amphost001,9,
amphost001,10,
amphost001,11,48.82368421052631
amphost001,12,
amphost001,13,
amphost001,14,
amphost001,15,
amphost001,18,46.641891891891895
amphost001,19,
amphost001,21,49.06666666666667
amphost001,23,
amphost001,24,
amphost001,25,
amphost001,26,
amphost001,27,1.2
amphost001,30,
amphost001,31,49.042352941176475
amphost001,32,
amphost001,34,
amphost001,35,0.01475409836065578
amphost001,36,
amphost001,38,
amphost001,39,
amphost001,40,
amphost001,41,
amphost001,43,
amphost001,44,0.6239823008849557
amphost001,45,
amphost001,46,
amphost001,48,
amphost001,49,
amphost002,8,48.62702702702706
amphost002,16,48.11409395973154
amphost002,17,10.788690476190476
amphost002,18,46.3527027027027
amphost002,20,0.5866666666666667
amphost002,22,48.106081081081086
amphost002,23,16.9
amphost002,24,32.98869047619047
amphost002,28,0.3474358974358975
amphost002,29,48.495652173913044
amphost002,33,0.4638736263736263
amphost002,37,48.63153153153154
amphost002,40,8.500000000000002
amphost002,42,49.00751879699248
amphost002,47,48.57478260869565
