node,task_id,mean_est
amphost001,0,
amphost001,2,
amphost001,3,
amphost001,4,
amphost001,6,
amphost001,7,45.558666666666674
amphost001,9,49.03603603603604
amphost001,11,
amphost001,12,
amphost001,13,49.19848484848484
amphost001,16,49.2
amphost001,17,26.207086614173214
amphost001,19,2.11462962962963
amphost001,20,48.86612903225808
amphost001,21,
amphost001,22,
amphost001,23,
amphost001,24,48.87652173913045
amphost001,26,
amphost001,29,
amphost001,31,
amphost001,32,39.300000000000004
amphost001,34,
amphost001,35,1.1453703703703701
amphost001,38,
amphost001,39,37.833333333333336
amphost001,41,
amphost001,42,
amphost001,43,
amphost001,45,
amphost001,46,
amphost001,47,
amphost001,48,
amphost002,0,19.525000000000006
amphost002,1,13.556818181818185
amphost002,4,33.39999999999999
amphost002,5,
amphost002,7,45.90533333333334
amphost002,8,47.940298507462686
amphost002,10,48.66923076923077
amphost002,13,48.9969696969697
amphost002,14,
amphost002,15,47.9268656716418
amphost002,17,25.001574803149605
amphost002,18,48.04819277108433
amphost002,22,25.03333333333333
amphost002,25,2.0749999999999957
amphost002,27,9.7
amphost002,28,10.399999999999999
amphost002,30,48.66396396396398
amphost002,32,40.800000000000004
amphost002,33,0.0
amphost002,36,
amphost002,37,
amphost002,38,17.425000000000004
amphost002,39,38.4
amphost002,40,47.97611940298508
amphost002,41,34.099999999999994
amphost002,42,22.825000000000006
amphost002,44,47.18235294117648
amphost002,49,48.811764705882354
