node,task_id,mean_est
amphost002,0,
amphost002,1,
amphost002,2,
amphost002,3,27.004166666666663
amphost002,5,
amphost002,6,
amphost002,7,
amphost002,9,31.551633568225494
amphost002,11,2.256828373420302
amphost002,12,
amphost002,14,
amphost002,15,
amphost002,16,
amphost002,17,45.833333333333336
amphost002,18,49.2
amphost002,19,0.7691176470588236
amphost002,20,13.842424242424242
amphost002,21,
amphost002,22,0.7611764705882353
amphost002,23,0.6396887159533073
amphost002,26,
amphost002,27,
amphost002,28,0.6397003745318351
amphost002,30,0.7340807174887892
amphost002,33,
amphost002,34,
amphost002,35,
amphost002,36,
amphost002,39,33.365919282511214
amphost002,40,
amphost002,43,
amphost002,45,17.200747384155456
amphost002,46,
amphost002,47,
amphost002,49,
amphost003,3,
amphost003,4,49.019999999999996
amphost003,5,27.162499999999998
amphost003,8,0.6352112676056338
amphost003,10,
amphost003,13,0.5808333333333333
amphost003,17,47.56666666666666
amphost003,18,49.05
amphost003,24,
amphost003,25,
amphost003,29,49.0
amphost003,31,
amphost003,32,0.5708812260536399
amphost003,33,
amphost003,34,
amphost003,37,48.06666666666666
amphost003,38,
amphost003,39,34.02620967741936
amphost003,41,
amphost003,42,33.948122065727695
amphost003,43,
amphost003,44,0.5737903225806452
amphost003,45,
amphost003,48,
