node,task_id,mean_est
x3010c0s19b1n0,16,9.5
x3010c0s19b1n0,17,8.666666666666666
x3010c0s19b1n0,19,10.0
x3010c0s19b1n0,22,8.5
x3010c0s19b1n0,30,9.0
x3010c0s19b1n0,31,9.0
x3010c0s19b1n0,32,9.0
x3010c0s19b1n0,38,9.0
x3010c0s1b0n0,5,8.0
x3010c0s1b0n0,16,0.0
x3010c0s1b0n0,19,9.0
x3010c0s1b0n0,22,8.0
x3010c0s1b0n0,26,8.0
x3010c0s1b0n0,31,8.0
x3010c0s1b0n0,32,8.5
x3010c0s1b0n0,38,8.0
x3010c0s1b1n0,4,8.0
x3010c0s1b1n0,17,8.0
x3010c0s1b1n0,19,9.0
x3010c0s1b1n0,22,8.0
x3010c0s1b1n0,31,8.0
x3010c0s1b1n0,32,8.5
x3010c0s1b1n0,38,8.0
x3010c0s1b1n0,43,8.0
x3010c0s25b0n0,19,9.0
x3010c0s25b0n0,23,0.0
x3010c0s25b0n0,28,
x3010c0s25b0n0,32,0.0
x3010c0s25b0n0,33,0.0
x3010c0s25b0n0,35,10.0
x3010c0s25b0n0,36,
x3010c0s25b0n0,44,
x3010c0s25b0n0,48,
x3010c0s25b1n0,19,9.0
x3010c0s25b1n0,20,10.0
x3010c0s25b1n0,22,9.0
x3010c0s25b1n0,24,0.0
x3010c0s25b1n0,29,
x3010c0s25b1n0,31,9.0
x3010c0s25b1n0,32,1.0
x3010c0s25b1n0,34,0.0
x3010c0s25b1n0,46,
x3010c0s25b1n0,48,
x3010c0s31b0n0,7,
x3010c0s31b0n0,8,
x3010c0s31b0n0,9,
x3010c0s31b0n0,15,
x3010c0s31b0n0,18,8.0
x3010c0s31b0n0,19,9.0
x3010c0s31b0n0,25,
x3010c0s31b0n0,32,
x3010c0s31b0n0,39,
x3010c0s31b0n0,40,
x3010c0s31b0n0,41,
x3010c0s31b0n0,42,
x3010c0s31b0n0,46,
x3010c0s31b0n0,47,
x3010c0s31b1n0,5,3.0
x3010c0s31b1n0,17,3.0
x3010c0s31b1n0,19,3.0
x3010c0s31b1n0,21,3.0
x3010c0s31b1n0,22,3.0
x3010c0s31b1n0,31,3.0
x3010c0s31b1n0,32,3.5
x3010c0s37b0n0,2,
x3010c0s37b0n0,9,
x3010c0s37b0n0,10,
x3010c0s37b0n0,12,9.733333333333333
x3010c0s37b0n0,13,
x3010c0s37b0n0,19,
x3010c0s37b0n0,22,8.0
x3010c0s37b0n0,27,
x3010c0s37b0n0,31,8.0
x3010c0s37b0n0,32,0.2666666666666675
x3010c0s37b1n0,0,
x3010c0s37b1n0,1,
x3010c0s37b1n0,3,
x3010c0s37b1n0,9,
x3010c0s37b1n0,10,
x3010c0s37b1n0,11,
x3010c0s37b1n0,14,
x3010c0s37b1n0,22,8.0
x3010c0s37b1n0,31,8.0
x3010c0s37b1n0,32,
x3010c0s37b1n0,37,
x3010c0s37b1n0,45,
x3010c0s37b1n0,49,
x3010c0s7b0n0,6,8.0
x3010c0s7b0n0,17,8.0
x3010c0s7b0n0,19,8.0
x3010c0s7b0n0,22,8.0
x3010c0s7b0n0,31,8.0
x3010c0s7b0n0,38,8.0
x3010c0s7b0n0,43,8.0
