node,task_id,mean_est
amphost001,0,
amphost001,2,
amphost001,3,
amphost001,4,
amphost001,6,
amphost001,7,3.0
amphost001,9,4.0
amphost001,11,
amphost001,12,
amphost001,13,3.0
amphost001,16,4.928571428571429
amphost001,17,4.0
amphost001,19,0.0
amphost001,20,3.9516129032258065
amphost001,21,
amphost001,22,
amphost001,23,
amphost001,24,3.0
amphost001,26,
amphost001,29,
amphost001,31,
amphost001,32,3.0
amphost001,34,
amphost001,35,3.0
amphost001,38,
amphost001,39,3.0
amphost001,41,
amphost001,42,
amphost001,43,
amphost001,45,
amphost001,46,
amphost001,47,
amphost001,48,
amphost002,0,1.0
amphost002,1,0.0
amphost002,4,4.0
amphost002,5,
amphost002,7,4.0
amphost002,8,4.970149253731344
amphost002,10,6.0
amphost002,13,4.0
amphost002,14,
amphost002,15,4.970149253731344
amphost002,17,5.0
amphost002,18,4.0
amphost002,22,4.0
amphost002,25,0.0
amphost002,27,3.0
amphost002,28,0.0
amphost002,30,5.0
amphost002,32,4.0
amphost002,33,1.0
amphost002,36,
amphost002,37,
amphost002,38,1.0
amphost002,39,4.0
amphost002,40,4.955223880597015
amphost002,41,2.8
amphost002,42,0.0
amphost002,44,4.955223880597015
amphost002,49,3.0
