node,task_id,mean_est
amphost001,1,0.10434782608695636
amphost001,2,
amphost001,3,0.08315217391304365
amphost001,4,0.0
amphost001,5,3.6049382716049383
amphost001,6,3.0
amphost001,7,0.0
amphost001,11,3.0
amphost001,12,3.8125
amphost001,15,3.0
amphost001,16,0.0
amphost001,17,0.0
amphost001,20,
amphost001,23,0.0
amphost001,24,3.0
amphost001,25,0.0
amphost001,28,3.9932885906040267
amphost001,29,0.0
amphost001,30,3.0
amphost001,31,0.0
amphost001,33,0.0
amphost001,34,0.0
amphost001,35,0.0
amphost001,37,
amphost001,39,0.0
amphost001,40,0.10434782608695652
amphost001,41,0.0
amphost001,42,0.0
amphost001,43,0.0
amphost001,44,1.0
amphost001,45,
amphost001,46,
amphost001,47,0.0
amphost001,49,0.08315217391304353
amphost002,0,6.0
amphost002,8,5.0
amphost002,9,4.955223880597015
amphost002,10,4.0
amphost002,13,5.0
amphost002,14,5.0
amphost002,18,4.0
amphost002,19,5.0
amphost002,21,4.0
amphost002,22,5.0
amphost002,26,4.0
amphost002,27,4.970149253731344
amphost002,32,4.0
amphost002,36,3.0
amphost002,38,5.0
amphost002,48,4.0
