node,task_id,mean_est
x3001c0s31b1n0,0,23.4
x3001c0s31b1n0,5,40.13333333333333
x3001c0s31b1n0,6,41.72307692307693
x3001c0s31b1n0,8,45.93333333333334
x3001c0s31b1n0,10,11.100000000000001
x3001c0s31b1n0,13,5.2
x3001c0s31b1n0,15,44.416666666666664
x3001c0s31b1n0,17,49.43666666666666
x3001c0s31b1n0,34,49.53333333333333
x3001c0s31b1n0,49,44.42499999999999
x3003c0s37b0n0,0,21.2
x3003c0s37b0n0,9,48.98137254901961
x3003c0s37b0n0,10,9.95
x3003c0s37b0n0,24,38.33333333333334
x3003c0s37b0n0,29,48.83793103448276
x3003c0s37b0n0,49,45.84583333333334
x3003c0s37b1n0,0,20.9
x3003c0s37b1n0,6,42.78461538461538
x3003c0s37b1n0,8,46.21666666666666
x3003c0s37b1n0,10,0.0
x3003c0s37b1n0,13,4.6
x3003c0s37b1n0,15,42.18333333333334
x3003c0s37b1n0,18,25.7
x3003c0s37b1n0,24,18.67777777777778
x3003c0s37b1n0,28,0.0
x3003c0s37b1n0,31,23.000000000000004
x3003c0s37b1n0,42,46.487500000000004
x3003c0s37b1n0,49,48.104166666666664
x3003c0s7b0n0,0,21.0
x3003c0s7b0n0,5,47.13333333333333
x3003c0s7b0n0,6,44.26153846153846
x3003c0s7b0n0,8,45.88333333333333
x3003c0s7b0n0,11,25.35
x3003c0s7b0n0,13,3.85
x3003c0s7b0n0,15,42.18333333333333
x3003c0s7b0n0,25,47.05
x3003c0s7b0n0,26,44.26
x3003c0s7b0n0,27,6.075
x3003c0s7b0n0,35,2.1
x3003c0s7b0n0,36,48.905617977528095
x3003c0s7b0n0,37,48.56
x3003c0s7b0n0,49,44.26666666666667
x3003c0s7b1n0,0,20.5
x3003c0s7b1n0,6,42.66923076923077
x3003c0s7b1n0,8,45.21666666666666
x3003c0s7b1n0,11,6.048780487804879
x3003c0s7b1n0,13,5.199999999999999
x3003c0s7b1n0,15,42.333333333333336
x3003c0s7b1n0,22,2.6512195121951216
x3003c0s7b1n0,24,37.57936507936508
x3003c0s7b1n0,25,42.74878048780488
x3003c0s7b1n0,27,43.74878048780488
x3003c0s7b1n0,31,35.2
x3003c0s7b1n0,32,2.922222222222222
x3003c0s7b1n0,35,41.44878048780488
x3003c0s7b1n0,38,1.7428571428571427
x3003c0s7b1n0,45,1.3682539682539685
x3003c0s7b1n0,46,28.438095238095247
x3003c0s7b1n0,48,
x3004c0s31b1n0,0,18.9
x3004c0s31b1n0,8,45.900000000000006
x3004c0s31b1n0,12,48.96333333333334
x3004c0s31b1n0,13,3.15
x3004c0s31b1n0,15,43.5
x3004c0s31b1n0,41,48.948314606741576
x3004c0s31b1n0,43,44.43333333333334
x3004c0s37b0n0,0,19.5
x3004c0s37b0n0,6,40.215384615384615
x3004c0s37b0n0,8,12.700000000000001
x3004c0s37b0n0,13,2.4
x3004c0s37b0n0,15,42.916666666666664
x3004c0s37b0n0,16,48.9843137254902
x3004c0s37b0n0,42,48.06964285714286
x3004c0s37b0n0,43,48.73333333333333
x3004c0s37b1n0,0,5.745454545454549
x3004c0s37b1n0,3,27.731818181818177
x3004c0s37b1n0,6,41.792307692307695
x3004c0s37b1n0,8,46.449999999999996
x3004c0s37b1n0,10,26.8125
x3004c0s37b1n0,11,36.77181818181818
x3004c0s37b1n0,13,2.65
x3004c0s37b1n0,14,7.422727272727273
x3004c0s37b1n0,15,41.96666666666667
x3004c0s37b1n0,24,37.712500000000006
x3004c0s37b1n0,25,4.671818181818182
x3004c0s37b1n0,27,43.27181818181819
x3004c0s37b1n0,30,1.8781818181818182
x3004c0s37b1n0,31,4.6018181818181825
x3004c0s37b1n0,35,24.421818181818182
x3004c0s37b1n0,39,1.8875
x3004c0s37b1n0,40,6.230681818181818
x3004c0s37b1n0,44,
x3004c0s7b0n0,1,1.366666666666666
x3004c0s7b0n0,2,
x3004c0s7b0n0,4,6.295238095238093
x3004c0s7b0n0,5,38.53333333333334
x3004c0s7b0n0,6,43.669230769230765
x3004c0s7b0n0,7,1.4
x3004c0s7b0n0,8,45.93333333333334
x3004c0s7b0n0,10,12.633333333333333
x3004c0s7b0n0,11,25.35
x3004c0s7b0n0,13,4.2
x3004c0s7b0n0,14,
x3004c0s7b0n0,15,13.016666666666667
x3004c0s7b0n0,19,24.771428571428572
x3004c0s7b0n0,20,3.766666666666667
x3004c0s7b0n0,21,48.80777777777779
x3004c0s7b0n0,23,
x3004c0s7b0n0,24,5.544444444444443
x3004c0s7b0n0,25,44.2
x3004c0s7b0n0,27,43.599999999999994
x3004c0s7b0n0,33,5.0000000000000036
x3004c0s7b0n0,35,7.2
x3004c0s7b1n0,0,16.8
x3004c0s7b1n0,5,42.76666666666667
x3004c0s7b1n0,6,38.97692307692308
x3004c0s7b1n0,8,46.18333333333334
x3004c0s7b1n0,11,27.05
x3004c0s7b1n0,13,3.1999999999999997
x3004c0s7b1n0,15,43.78333333333334
x3004c0s7b1n0,25,43.65
x3004c0s7b1n0,26,43.74
x3004c0s7b1n0,27,43.349999999999994
x3004c0s7b1n0,35,1.9
x3004c0s7b1n0,37,46.08
x3004c0s7b1n0,47,48.514018691588795
