node,task_id,mean_est
x3001c0s7b1n0,3,44.72727272727272
x3001c0s7b1n0,8,48.3
x3001c0s7b1n0,11,1.9
x3001c0s7b1n0,14,48.131818181818176
x3001c0s7b1n0,16,38.107142857142854
x3001c0s7b1n0,28,48.2
x3001c0s7b1n0,33,41.08333333333333
x3001c0s7b1n0,40,45.9
x3001c0s7b1n0,43,34.8
x3001c0s7b1n0,48,14.0
x3001c0s7b1n0,49,45.230434782608704
x3002c0s25b0n0,3,44.445454545454545
x3002c0s25b0n0,4,2.4
x3002c0s25b0n0,8,48.0
x3002c0s25b0n0,9,46.3
x3002c0s25b0n0,11,1.7
x3002c0s25b0n0,14,45.39090909090909
x3002c0s25b0n0,22,0.15
x3002c0s25b0n0,26,43.75555555555556
x3002c0s25b0n0,29,41.0
x3002c0s25b0n0,33,43.36666666666667
x3002c0s25b0n0,34,2.4
x3002c0s25b0n0,35,34.2
x3002c0s25b0n0,43,32.6
x3002c0s25b0n0,44,17.25
x3002c0s25b0n0,48,14.3
x3002c0s25b0n0,49,45.373913043478254
x3002c0s31b0n0,3,43.45454545454545
x3002c0s31b0n0,4,2.25
x3002c0s31b0n0,8,48.0
x3002c0s31b0n0,9,46.290000000000006
x3002c0s31b0n0,11,1.7
x3002c0s31b0n0,14,44.400000000000006
x3002c0s31b0n0,16,36.87142857142857
x3002c0s31b0n0,22,0.15
x3002c0s31b0n0,26,44.05555555555556
x3002c0s31b0n0,29,40.95
x3002c0s31b0n0,33,41.38333333333333
x3002c0s31b0n0,34,0.0
x3002c0s31b0n0,35,24.1
x3002c0s31b0n0,43,8.9
x3002c0s31b0n0,44,23.5
x3002c0s31b0n0,48,16.5
x3002c0s31b0n0,49,46.321739130434786
x3002c0s31b1n0,1,0.125
x3002c0s31b1n0,3,44.97272727272727
x3002c0s31b1n0,4,2.4000000000000004
x3002c0s31b1n0,8,48.2
x3002c0s31b1n0,9,3.2571428571428584
x3002c0s31b1n0,11,12.6
x3002c0s31b1n0,14,44.73636363636364
x3002c0s31b1n0,16,37.07857142857143
x3002c0s31b1n0,18,22.866666666666664
x3002c0s31b1n0,19,44.0
x3002c0s31b1n0,25,38.375
x3002c0s31b1n0,26,3.175
x3002c0s31b1n0,29,38.1
x3002c0s31b1n0,32,45.24285714285714
x3002c0s31b1n0,33,40.275
x3002c0s31b1n0,34,0.0
x3002c0s31b1n0,35,6.3
x3002c0s31b1n0,36,38.71160714285714
x3002c0s31b1n0,41,39.6
x3002c0s31b1n0,43,32.5
x3002c0s31b1n0,44,17.25
x3002c0s31b1n0,45,1.6
x3002c0s31b1n0,48,8.2
x3002c0s37b0n0,3,41.85454545454545
x3002c0s37b0n0,4,2.45
x3002c0s37b0n0,5,46.12222222222223
x3002c0s37b0n0,7,34.03333333333333
x3002c0s37b0n0,8,48.0
x3002c0s37b0n0,11,1.9
