node,task_id,mean_est
x3004c0s13b0n0,14,48.86666666666667
x3004c0s13b0n0,18,49.42333333333334
x3004c0s13b0n0,20,48.89473684210526
x3004c0s13b0n0,35,48.8
x3004c0s13b0n0,48,2.1029411764705883
x3004c0s13b1n0,14,48.70000000000001
x3004c0s13b1n0,28,49.00777777777778
x3004c0s13b1n0,35,48.650000000000006
x3004c0s19b0n0,12,49.0375
x3004c0s19b0n0,14,48.6
x3004c0s19b0n0,16,26.8
x3004c0s19b0n0,27,1.8629629629629632
x3004c0s19b0n0,31,48.63333333333333
x3004c0s19b0n0,35,48.650000000000006
x3004c0s19b0n0,41,47.5
x3004c0s19b0n0,42,1.864
x3004c0s19b1n0,7,2.0814814814814815
x3004c0s19b1n0,14,4.980769230769231
x3004c0s19b1n0,16,18.580769230769228
x3004c0s19b1n0,26,2.319230769230769
x3004c0s19b1n0,30,
x3004c0s19b1n0,35,48.650000000000006
x3004c0s19b1n0,41,37.73333333333333
x3004c0s19b1n0,46,1.9846153846153847
x3004c0s19b1n0,47,
x3004c0s1b0n0,10,1.486111111111111
x3004c0s1b0n0,16,
x3004c0s1b0n0,17,1.4749999999999999
x3004c0s1b0n0,21,12.808333333333334
x3004c0s1b0n0,22,
x3004c0s1b0n0,23,
x3004c0s1b0n0,33,2.030555555555556
x3004c0s1b0n0,35,48.7
x3004c0s1b0n0,39,
x3004c0s1b0n0,40,1.925
x3004c0s1b0n0,43,1.9050000000000002
x3004c0s1b0n0,47,
x3004c0s1b0n0,49,
x3004c0s1b1n0,2,49.15
x3004c0s1b1n0,13,5.55
x3004c0s1b1n0,15,25.02142857142857
x3004c0s1b1n0,34,48.91355932203389
x3004c0s1b1n0,35,48.650000000000006
x3004c0s1b1n0,45,1.8785714285714286
x3004c0s25b0n0,1,48.989024390243905
x3004c0s25b0n0,35,48.9
x3004c0s25b0n0,41,40.26666666666667
x3004c0s25b1n0,3,3.3
x3004c0s25b1n0,6,9.686029411764705
x3004c0s25b1n0,11,26.3375
x3004c0s25b1n0,19,1.875
x3004c0s25b1n0,20,46.838596491228074
x3004c0s25b1n0,32,42.0
x3004c0s25b1n0,35,7.0
x3004c0s25b1n0,36,1.4704545454545455
x3004c0s25b1n0,38,2.716470588235294
x3004c0s25b1n0,44,1.8895454545454544
x3004c0s31b0n0,0,1.5220779220779217
x3004c0s31b0n0,4,1.8636363636363635
x3004c0s31b0n0,5,25.014285714285712
x3004c0s31b0n0,8,46.515384615384605
x3004c0s31b0n0,9,
x3004c0s31b0n0,24,4.800000000000004
x3004c0s31b0n0,25,
x3004c0s31b0n0,29,1.92
x3004c0s31b0n0,31,42.79999999999999
x3004c0s31b0n0,32,
x3004c0s31b0n0,41,38.333333333333336
x3004c0s31b1n0,14,48.63333333333333
x3004c0s31b1n0,35,49.1
x3004c0s31b1n0,37,48.760714285714286
