node,task_id,mean_est
x3010c0s19b1n0,5,47.8
x3010c0s19b1n0,12,1.9666666666666701
x3010c0s19b1n0,14,3.7
x3010c0s19b1n0,16,0.766666666666668
x3010c0s19b1n0,19,26.625
x3010c0s19b1n0,25,32.666666666666664
x3010c0s19b1n0,31,30.039999999999996
x3010c0s19b1n0,34,43.599999999999994
x3010c0s19b1n0,38,0.2600000000000018
x3010c0s19b1n0,41,17.499999999999996
x3010c0s19b1n0,48,0.0
x3010c0s1b0n0,4,
x3010c0s1b0n0,5,47.9
x3010c0s1b0n0,7,
x3010c0s1b0n0,9,
x3010c0s1b0n0,10,
x3010c0s1b0n0,11,
x3010c0s1b0n0,12,
x3010c0s1b0n0,16,
x3010c0s1b0n0,25,33.4
x3010c0s1b0n0,31,
x3010c0s1b0n0,34,
x3010c0s1b0n0,41,18.65
x3010c0s1b0n0,47,
x3010c0s1b1n0,1,
x3010c0s1b1n0,5,48.2
x3010c0s1b1n0,8,
x3010c0s1b1n0,12,
x3010c0s1b1n0,16,
x3010c0s1b1n0,24,
x3010c0s1b1n0,25,13.466666666666667
x3010c0s1b1n0,28,
x3010c0s1b1n0,31,
x3010c0s1b1n0,34,
x3010c0s1b1n0,39,
x3010c0s1b1n0,41,17.2
x3010c0s1b1n0,45,
x3010c0s25b0n0,5,47.9
x3010c0s25b0n0,12,0.0
x3010c0s25b0n0,13,1.4429629629629628
x3010c0s25b0n0,16,4.013333333333333
x3010c0s25b0n0,25,33.36666666666667
x3010c0s25b0n0,31,29.275
x3010c0s25b0n0,33,1.4000000000000001
x3010c0s25b0n0,34,0.32
x3010c0s25b0n0,35,1.5799999999999998
x3010c0s25b0n0,36,25.200000000000003
x3010c0s25b0n0,41,5.85
x3010c0s25b0n0,43,5.199999999999999
x3010c0s25b0n0,45,0.19999999999999996
x3010c0s25b1n0,3,
x3010c0s25b1n0,5,48.0
x3010c0s25b1n0,12,0.02000000000001339
x3010c0s25b1n0,16,0.0
x3010c0s25b1n0,25,33.46666666666667
x3010c0s25b1n0,31,8.649999999999999
x3010c0s25b1n0,32,1.55
x3010c0s25b1n0,34,47.27999999999999
x3010c0s25b1n0,35,0.5200000000000102
x3010c0s25b1n0,43,
x3010c0s31b0n0,3,0.0
x3010c0s31b0n0,5,48.0
x3010c0s31b0n0,12,0.2888888888888889
x3010c0s31b0n0,16,0.0
x3010c0s31b0n0,20,48.4
x3010c0s31b0n0,23,0.0
x3010c0s31b0n0,25,33.333333333333336
x3010c0s31b0n0,35,1.9
x3010c0s31b0n0,38,47.20769230769231
x3010c0s31b0n0,41,17.8
x3010c0s31b1n0,5,48.0
x3010c0s31b1n0,16,0.06666666666666667
x3010c0s31b1n0,20,19.766666666666666
x3010c0s31b1n0,25,33.666666666666664
x3010c0s31b1n0,35,1.9
x3010c0s31b1n0,38,48.26562500000001
x3010c0s31b1n0,41,17.1
x3010c0s37b0n0,5,48.4
x3010c0s37b0n0,12,44.05555555555556
x3010c0s37b0n0,16,0.0
x3010c0s37b0n0,20,3.3975510204081707
x3010c0s37b0n0,25,34.26666666666667
x3010c0s37b0n0,35,4.8
x3010c0s37b0n0,38,47.42000000000001
x3010c0s37b0n0,41,17.95
x3010c0s37b0n0,44,0.5024489795918293
x3010c0s37b1n0,0,
x3010c0s37b1n0,2,
x3010c0s37b1n0,5,
x3010c0s37b1n0,6,
x3010c0s37b1n0,12,
x3010c0s37b1n0,17,
x3010c0s37b1n0,18,
x3010c0s37b1n0,21,
x3010c0s37b1n0,22,
x3010c0s37b1n0,25,
x3010c0s37b1n0,26,
x3010c0s37b1n0,27,
x3010c0s37b1n0,34,
x3010c0s37b1n0,35,
x3010c0s37b1n0,38,
x3010c0s37b1n0,41,
x3010c0s37b1n0,46,
x3010c0s37b1n0,49,
x3010c0s7b0n0,5,48.0
x3010c0s7b0n0,12,43.900000000000006
x3010c0s7b0n0,15,1.825714285714286
x3010c0s7b0n0,16,19.733333333333334
x3010c0s7b0n0,25,33.333333333333336
x3010c0s7b0n0,29,12.959523809523809
x3010c0s7b0n0,30,1.511538461538463
x3010c0s7b0n0,35,0.1
x3010c0s7b0n0,37,6.16
x3010c0s7b0n0,38,6.314285714285714
x3010c0s7b0n0,40,18.2547619047619
x3010c0s7b0n0,41,16.75
x3010c0s7b0n0,42,1.9641758241758243
