node,task_id,mean_est
x3001c0s37b0n0,5,3.0
x3001c0s37b0n0,10,7.214285714285714
x3001c0s37b0n0,15,3.0
x3001c0s37b0n0,27,5.842105263157895
x3001c0s37b0n0,32,2.75
x3001c0s37b0n0,38,8.0
x3001c0s37b0n0,41,3.1578947368421058
x3001c0s37b0n0,43,7.0
x3001c0s37b1n0,4,13.777777777777779
x3001c0s37b1n0,5,2.857142857142857
x3001c0s37b1n0,9,4.0
x3001c0s37b1n0,32,2.75
x3001c0s37b1n0,38,0.22222222222222143
x3001c0s37b1n0,41,0.0
x3001c0s7b0n0,1,0.0
x3001c0s7b0n0,5,2.857142857142857
x3001c0s7b0n0,7,0.0
x3001c0s7b0n0,10,17.0
x3001c0s7b0n0,12,16.971830985915492
x3001c0s7b0n0,18,9.0
x3001c0s7b0n0,22,0.0
x3001c0s7b0n0,24,0.0
x3001c0s7b0n0,28,
x3001c0s7b0n0,29,0.028169014084507893
x3001c0s7b0n0,31,0.0
x3001c0s7b0n0,32,2.75
x3001c0s7b0n0,34,
x3001c0s7b0n0,38,2.0281690140845083
x3001c0s7b0n0,39,0.0
x3001c0s7b0n0,41,2.694835680751175
x3001c0s7b0n0,43,17.0
x3001c0s7b0n0,46,0.0
x3001c0s7b1n0,5,2.857142857142857
x3001c0s7b1n0,10,21.928571428571427
x3001c0s7b1n0,19,3.0
x3001c0s7b1n0,20,16.2
x3001c0s7b1n0,29,6.800000000000001
x3001c0s7b1n0,32,2.625
x3001c0s7b1n0,38,21.941176470588236
x3001c0s7b1n0,41,22.857142857142858
x3001c0s7b1n0,43,22.0
x3002c0s13b0n0,5,2.857142857142857
x3002c0s13b0n0,10,7.0
x3002c0s13b0n0,16,7.9
x3002c0s13b0n0,19,3.0
x3002c0s13b0n0,29,1.0999999999999996
x3002c0s13b0n0,32,2.75
x3002c0s13b0n0,38,7.0
x3002c0s13b0n0,41,8.0
x3002c0s13b0n0,43,7.0
x3002c0s13b1n0,0,3.0
x3002c0s13b1n0,5,3.857142857142857
x3002c0s13b1n0,10,3.0
x3002c0s13b1n0,32,3.625
x3002c0s13b1n0,35,4.866666666666666
x3002c0s13b1n0,38,2.9411764705882355
x3002c0s13b1n0,41,2.9761904761904763
x3002c0s13b1n0,42,4.0
x3002c0s13b1n0,43,2.0
x3002c0s13b1n0,47,2.0
x3002c0s19b0n0,0,4.0
x3002c0s19b0n0,5,5.0
x3002c0s19b0n0,10,14.0
x3002c0s19b0n0,11,6.862068965517241
x3002c0s19b0n0,17,4.5
x3002c0s19b0n0,30,6.0
x3002c0s19b0n0,32,4.75
x3002c0s19b0n0,38,15.0
x3002c0s19b0n0,40,6.0
x3002c0s19b0n0,41,9.69047619047619
x3002c0s19b0n0,43,14.0
x3002c0s31b1n0,1,2.0
x3002c0s31b1n0,5,7.714285714285714
x3002c0s31b1n0,13,0.0
x3002c0s31b1n0,14,25.0
x3002c0s31b1n0,17,0.0
x3002c0s31b1n0,22,
x3002c0s31b1n0,24,0.0
x3002c0s31b1n0,29,0.0
x3002c0s31b1n0,32,8.0
x3002c0s31b1n0,33,31.31764705882353
x3002c0s31b1n0,38,1.623529411764707
x3002c0s31b1n0,41,1.6347338935574243
x3002c0s31b1n0,44,
x3002c0s31b1n0,45,0.0
x3002c0s31b1n0,46,
x3002c0s37b0n0,1,1.473684210526315
x3002c0s37b0n0,2,29.526315789473685
x3002c0s37b0n0,3,0.0
x3002c0s37b0n0,6,0.0
x3002c0s37b0n0,8,1.473684210526315
x3002c0s37b0n0,10,27.0
x3002c0s37b0n0,13,0.0
x3002c0s37b0n0,21,0.0
x3002c0s37b0n0,22,0.0
x3002c0s37b0n0,23,0.0
x3002c0s37b0n0,24,0.0
x3002c0s37b0n0,25,0.0
x3002c0s37b0n0,26,0.0
x3002c0s37b0n0,29,0.47368421052631504
x3002c0s37b0n0,36,29.880434782608695
x3002c0s37b0n0,43,26.5
x3002c0s37b0n0,46,0.0
x3002c0s37b0n0,48,7.75
x3002c0s37b0n0,49,6.723684210526315
x3004c0s7b1n0,5,35.0
x3004c0s7b1n0,10,32.0
x3004c0s7b1n0,32,34.75
x3004c0s7b1n0,37,35.039603960396036
x3004c0s7b1n0,38,32.0
x3004c0s7b1n0,41,32.95238095238095
x3004c0s7b1n0,43,31.0
