node,task_id,mean_est
x3001c0s37b1n0,1,2.0
x3001c0s37b1n0,3,2.5
x3001c0s37b1n0,4,2.0
x3001c0s37b1n0,9,2.6666666666666665
x3001c0s37b1n0,10,3.0
x3001c0s37b1n0,12,3.0
x3001c0s37b1n0,15,3.5714285714285716
x3001c0s37b1n0,20,3.8333333333333335
x3001c0s37b1n0,24,2.0
x3001c0s37b1n0,27,2.9814814814814814
x3001c0s37b1n0,32,2.0
x3001c0s37b1n0,33,3.0
x3001c0s37b1n0,34,3.0
x3001c0s37b1n0,37,3.857142857142857
x3001c0s37b1n0,41,2.5
x3001c0s37b1n0,42,3.0
x3001c0s37b1n0,44,3.0
x3001c0s37b1n0,46,3.0
x3001c0s37b1n0,49,2.0
x3001c0s7b0n0,0,5.0
x3001c0s7b0n0,3,4.5
x3001c0s7b0n0,4,0.0
x3001c0s7b0n0,9,0.0
x3001c0s7b0n0,15,5.571428571428571
x3001c0s7b0n0,20,5.833333333333333
x3001c0s7b0n0,23,1.0
x3001c0s7b0n0,24,5.0
x3001c0s7b0n0,25,5.0
x3001c0s7b0n0,27,4.0
x3001c0s7b0n0,33,5.0
x3001c0s7b0n0,34,5.0
x3001c0s7b0n0,37,0.8928571428571429
x3001c0s7b0n0,39,5.0
x3001c0s7b0n0,41,0.5
x3001c0s7b0n0,42,5.0
x3001c0s7b0n0,44,5.0
x3001c0s7b0n0,46,5.0
x3001c0s7b0n0,49,0.0
x3001c0s7b1n0,0,3.0
x3001c0s7b1n0,3,2.5
x3001c0s7b1n0,9,2.6666666666666665
x3001c0s7b1n0,14,3.9767441860465116
x3001c0s7b1n0,15,3.7142857142857144
x3001c0s7b1n0,18,3.0
x3001c0s7b1n0,20,3.8333333333333335
x3001c0s7b1n0,21,3.0
x3001c0s7b1n0,25,2.9473684210526314
x3001c0s7b1n0,26,3.0
x3001c0s7b1n0,30,
x3001c0s7b1n0,31,4.894736842105263
x3001c0s7b1n0,33,2.5
x3001c0s7b1n0,37,2.0
x3001c0s7b1n0,40,
x3001c0s7b1n0,41,2.5
x3001c0s7b1n0,44,3.0
x3001c0s7b1n0,46,3.0
x3001c0s7b1n0,47,3.0
x3004c0s7b0n0,0,5.0
x3004c0s7b0n0,3,4.25
x3004c0s7b0n0,15,4.714285714285714
x3004c0s7b0n0,16,
x3004c0s7b0n0,20,4.833333333333333
x3004c0s7b0n0,23,0.0
x3004c0s7b0n0,24,4.0
x3004c0s7b0n0,25,4.894736842105263
x3004c0s7b0n0,29,5.0
x3004c0s7b0n0,30,4.0
x3004c0s7b0n0,33,4.0
x3004c0s7b0n0,34,5.0
x3004c0s7b0n0,36,7.0
x3004c0s7b0n0,39,4.0
x3004c0s7b0n0,44,5.0
x3004c0s7b0n0,46,4.0
x3004c0s7b0n0,47,4.5
x3005c0s1b0n0,0,9.0
x3005c0s1b0n0,1,0.6666666666666666
x3005c0s1b0n0,3,9.0
x3005c0s1b0n0,5,8.06060606060606
x3005c0s1b0n0,7,
x3005c0s1b0n0,9,0.0
x3005c0s1b0n0,16,
x3005c0s1b0n0,22,0.9393939393939394
x3005c0s1b0n0,24,9.0
x3005c0s1b0n0,25,9.0
x3005c0s1b0n0,30,
x3005c0s1b0n0,31,1.894736842105263
x3005c0s1b0n0,32,0.0
x3005c0s1b0n0,33,9.0
x3005c0s1b0n0,34,9.0
x3005c0s1b0n0,36,10.0
x3005c0s1b0n0,37,0.0
x3005c0s1b0n0,39,9.0
x3005c0s1b0n0,41,0.0
x3005c0s1b0n0,44,9.0
x3005c0s1b0n0,46,9.0
x3005c0s1b0n0,47,
x3005c0s37b0n0,0,10.0
x3005c0s37b0n0,1,9.666666666666666
x3005c0s37b0n0,3,9.25
x3005c0s37b0n0,7,9.666666666666666
x3005c0s37b0n0,8,10.975903614457831
x3005c0s37b0n0,10,9.0
x3005c0s37b0n0,12,9.0
x3005c0s37b0n0,15,9.857142857142858
x3005c0s37b0n0,20,9.833333333333334
x3005c0s37b0n0,24,9.0
x3005c0s37b0n0,25,9.894736842105264
x3005c0s37b0n0,32,9.5
x3005c0s37b0n0,33,9.0
x3005c0s37b0n0,34,10.0
x3005c0s37b0n0,44,10.0
x3005c0s37b0n0,46,9.0
x3005c0s37b1n0,0,3.0
x3005c0s37b1n0,1,2.6666666666666665
x3005c0s37b1n0,2,
x3005c0s37b1n0,3,2.2
x3005c0s37b1n0,4,0.75
x3005c0s37b1n0,7,
x3005c0s37b1n0,10,2.0
x3005c0s37b1n0,12,2.0
x3005c0s37b1n0,14,3.0
x3005c0s37b1n0,15,2.857142857142857
x3005c0s37b1n0,17,
x3005c0s37b1n0,18,2.0
x3005c0s37b1n0,19,
x3005c0s37b1n0,20,2.8333333333333335
x3005c0s37b1n0,24,2.0
x3005c0s37b1n0,25,2.9444444444444446
x3005c0s37b1n0,31,2.0
x3005c0s37b1n0,32,2.5
x3005c0s37b1n0,33,2.0
x3005c0s37b1n0,34,2.5
x3005c0s37b1n0,37,3.7857142857142856
x3005c0s37b1n0,38,
x3005c0s37b1n0,41,2.0
x3005c0s37b1n0,45,
x3005c0s37b1n0,49,1.0
x3005c0s7b0n0,0,7.0
x3005c0s7b0n0,1,0.11999999999999966
x3005c0s7b0n0,3,
x3005c0s7b0n0,4,0.11999999999999966
x3005c0s7b0n0,6,
x3005c0s7b0n0,11,4.1036601307189535
x3005c0s7b0n0,15,7.714285714285714
x3005c0s7b0n0,16,
x3005c0s7b0n0,20,7.833333333333333
x3005c0s7b0n0,24,7.0
x3005c0s7b0n0,25,7.0
x3005c0s7b0n0,27,5.436993464052287
x3005c0s7b0n0,32,0.16666666666666607
x3005c0s7b0n0,33,7.0
x3005c0s7b0n0,34,7.0
x3005c0s7b0n0,37,1.9348148148148143
x3005c0s7b0n0,39,9.833333333333334
x3005c0s7b0n0,43,3.0466666666666664
x3005c0s7b0n0,45,2.5163398692810466
x3005c0s7b0n0,49,0.11999999999999966
x3005c0s7b1n0,0,6.0
x3005c0s7b1n0,1,0.0
x3005c0s7b1n0,4,0.0
x3005c0s7b1n0,6,0.666666666666667
x3005c0s7b1n0,13,5.333333333333333
x3005c0s7b1n0,15,5.857142857142857
x3005c0s7b1n0,20,5.833333333333333
x3005c0s7b1n0,24,5.0
x3005c0s7b1n0,25,5.944444444444445
x3005c0s7b1n0,27,2.962962962962963
x3005c0s7b1n0,28,0.0
x3005c0s7b1n0,32,0.16666666666666696
x3005c0s7b1n0,33,5.0
x3005c0s7b1n0,34,5.0
x3005c0s7b1n0,37,1.75
x3005c0s7b1n0,39,7.833333333333333
x3005c0s7b1n0,43,1.166666666666667
x3005c0s7b1n0,44,6.0
x3005c0s7b1n0,46,5.0
x3005c0s7b1n0,49,0.0
x3006c0s13b0n0,1,3.0
x3006c0s13b0n0,3,3.2
x3006c0s13b0n0,9,3.3333333333333335
x3006c0s13b0n0,10,3.0
x3006c0s13b0n0,12,3.0
x3006c0s13b0n0,15,3.857142857142857
x3006c0s13b0n0,20,3.8333333333333335
x3006c0s13b0n0,24,3.0
x3006c0s13b0n0,32,3.0
x3006c0s13b0n0,34,3.0
x3006c0s13b0n0,35,4.15
x3006c0s13b0n0,44,3.888888888888889
x3006c0s13b0n0,46,3.0
x3006c0s13b0n0,48,3.0
