node,task_id,mean_est
x3004c0s13b0n0,14,14.0
x3004c0s13b0n0,18,15.866666666666667
x3004c0s13b0n0,20,17.607142857142858
x3004c0s13b0n0,35,14.0
x3004c0s13b0n0,48,17.914285714285715
x3004c0s13b1n0,14,14.0
x3004c0s13b1n0,28,14.5
x3004c0s13b1n0,35,14.0
x3004c0s19b0n0,12,17.0
x3004c0s19b0n0,14,18.0
x3004c0s19b0n0,16,17.5
x3004c0s19b0n0,27,18.25925925925926
x3004c0s19b0n0,31,17.0
x3004c0s19b0n0,35,18.0
x3004c0s19b0n0,41,17.0
x3004c0s19b0n0,42,18.8
x3004c0s19b1n0,7,18.964285714285715
x3004c0s19b1n0,14,0.0
x3004c0s19b1n0,16,0.0
x3004c0s19b1n0,26,20.0
x3004c0s19b1n0,30,
x3004c0s19b1n0,35,20.0
x3004c0s19b1n0,41,15.0
x3004c0s19b1n0,46,16.88
x3004c0s19b1n0,47,
x3004c0s1b0n0,10,0.16666666666666666
x3004c0s1b0n0,16,
x3004c0s1b0n0,17,0.0
x3004c0s1b0n0,21,0.0
x3004c0s1b0n0,22,
x3004c0s1b0n0,23,
x3004c0s1b0n0,33,19.0
x3004c0s1b0n0,35,13.0
x3004c0s1b0n0,39,
x3004c0s1b0n0,40,18.0
x3004c0s1b0n0,43,18.32
x3004c0s1b0n0,47,
x3004c0s1b0n0,49,
x3004c0s1b1n0,2,18.0
x3004c0s1b1n0,13,0.0
x3004c0s1b1n0,15,0.0
x3004c0s1b1n0,34,16.103448275862068
x3004c0s1b1n0,35,14.0
x3004c0s1b1n0,45,18.392857142857142
x3004c0s25b0n0,1,18.0
x3004c0s25b0n0,35,18.0
x3004c0s25b0n0,41,17.0
x3004c0s25b1n0,3,0.0
x3004c0s25b1n0,6,0.0
x3004c0s25b1n0,11,0.0
x3004c0s25b1n0,19,16.875
x3004c0s25b1n0,20,16.017857142857142
x3004c0s25b1n0,32,13.0
x3004c0s25b1n0,35,0.0
x3004c0s25b1n0,36,17.0
x3004c0s25b1n0,38,0.0
x3004c0s25b1n0,44,2.0
x3004c0s31b0n0,0,0.5384615384615384
x3004c0s31b0n0,4,19.0
x3004c0s31b0n0,5,1.4615384615384617
x3004c0s31b0n0,8,21.0
x3004c0s31b0n0,9,
x3004c0s31b0n0,24,0.0
x3004c0s31b0n0,25,
x3004c0s31b0n0,29,18.46153846153846
x3004c0s31b0n0,31,16.0
x3004c0s31b0n0,32,
x3004c0s31b0n0,41,16.0
x3004c0s31b1n0,14,4.0
x3004c0s31b1n0,35,4.0
x3004c0s31b1n0,37,4.0
