node,task_id,mean_est
x3002c0s1b1n0,1,5.0
x3002c0s1b1n0,44,5.0
x3002c0s1b1n0,46,8.0
x3002c0s25b0n0,2,23.20754716981132
x3002c0s25b0n0,3,
x3002c0s25b0n0,33,23.956521739130434
x3002c0s25b0n0,34,
x3002c0s25b0n0,42,22.0
x3002c0s25b0n0,45,
x3002c0s25b0n0,48,0.0
x3002c0s25b0n0,49,
x3002c0s25b1n0,4,26.363636363636363
x3002c0s25b1n0,5,0.0
x3002c0s25b1n0,19,26.325301204819276
x3002c0s25b1n0,35,0.0
x3002c0s25b1n0,36,0.0
x3002c0s25b1n0,37,0.0
x3002c0s31b0n0,6,5.9655172413793105
x3002c0s31b0n0,20,20.133333333333333
x3002c0s31b0n0,23,4.988636363636363
x3002c0s31b1n0,7,4.103448275862069
x3002c0s31b1n0,25,5.0
x3002c0s37b0n0,8,0.10000000000000142
x3002c0s37b0n0,9,
x3002c0s37b0n0,14,24.9
x3002c0s37b0n0,15,0.0
x3002c0s37b0n0,16,24.551724137931036
x3002c0s37b0n0,21,
x3002c0s37b0n0,22,28.0
x3002c0s37b0n0,24,0.0
x3002c0s37b0n0,26,
x3002c0s37b0n0,28,
x3002c0s37b0n0,29,
x3002c0s37b0n0,41,0.10000000000000142
x3002c0s7b0n0,10,6.0
x3002c0s7b0n0,43,6.0
x3005c0s31b1n0,11,4.224719101123595
x3005c0s31b1n0,30,12.74074074074074
x3005c0s37b0n0,12,23.274509803921568
x3005c0s37b0n0,13,0.0
x3005c0s37b0n0,17,27.76923076923077
x3005c0s37b0n0,18,28.941176470588236
x3005c0s37b0n0,27,31.543478260869566
x3005c0s37b0n0,32,
x3005c0s37b0n0,38,
x3005c0s37b0n0,39,
x3005c0s37b0n0,40,
x3005c0s37b0n0,47,
x3005c0s37b1n0,0,3.9879518072289155
x3005c0s37b1n0,31,4.0
